OID_,POU_INDEX,POU_ID,IDU_ID,IDU_WW2100,WRIS_ID,AREA_POU,PERCENT_POU,AREA_IDU,PERCENT_IDU,USECODE,PERMITCODE,XCOORD,YCOORD,CERTIFICATE
30,30,45058,44042,44042,62258,143623.368192474998068,0.223998732612000,279130.526695844018832,0.115255944340466,16,2,512488.725399999879301,4894846.580800000578165,-99
31,31,45058,44123,44123,62258,143623.368192474998068,0.131962017600065,772449.606927070999518,0.024536007619440,16,2,511930.141699999570847,4894904.005799999460578,-99
32,32,46618,42504,42504,63496,460928.483854521997273,0.005573814148378,58759.171385249399464,0.043723041767461,16,2,512320.677000000141561,4893443.648900000378489,-99
33,33,46618,42546,42546,63496,460928.483854521997273,9.315206910551677,43298.642650892703386,99.163482622086917,16,2,512238.414200000464916,4893620.268699999898672,-99
34,34,46618,42899,42899,63496,460928.483854521997273,0.092709972332840,114972.032121935000760,0.371678800460357,16,2,512210.807699999772012,4893905.322699999436736,-99
35,35,46618,42905,42905,63496,460928.483854521997273,59.558767906742325,275282.171289780992083,99.724339076793626,16,2,512694.766499999910593,4893840.348999999463558,-99
36,36,46618,42906,42906,63496,460928.483854521997273,20.700293734899159,95477.292030933094793,99.933238612162199,16,2,513017.289699999615550,4893767.879799999296665,-99
37,37,46618,43084,43084,63496,460928.483854521997273,8.874368675742277,41196.217795765696792,99.291865072535415,16,2,512967.890200000256300,4894334.038599999621511,-99
38,38,46618,43085,43085,63496,460928.483854521997273,1.036221126163146,108149.364016284001991,4.416335102520700,16,2,512747.964800000190735,4894235.206000000238419,-99
39,39,46111,42221,42221,63061,250455.703042211011052,5.333947378203757,134820.984414011007175,9.908824997863963,16,2,512553.669900000095367,4893058.352199999615550,-99
40,40,46111,42406,42406,63061,250455.703042211011052,2.076678646422103,79416.052570162893971,6.549255390437346,16,2,512213.476700000464916,4893257.980599999427795,-99
41,41,46111,42413,42413,63061,250455.703042211011052,31.540826739024585,78995.808491465402767,99.999988433670254,16,2,511838.230999999679625,4893303.448100000619888,-99
42,42,46111,42505,42505,63061,250455.703042211011052,21.059031129896123,53969.107508542896539,97.729139697021125,16,2,512563.905299999751151,4893458.674000000581145,-99
43,43,46111,42506,42506,63061,250455.703042211011052,38.520367484528172,96940.755645035300404,99.521049279915758,16,2,512725.178500000387430,4893311.342499999329448,-99
44,44,46111,42507,42507,63061,250455.703042211011052,0.028624677535421,374948.211003281990997,0.019120543920738,16,2,511456.690600000321865,4893168.759400000795722,-99
45,45,46111,42604,42604,63061,250455.703042211011052,1.424294754154143,133618.636491837009089,2.669708008978237,16,2,511958.799599999561906,4893576.214500000700355,-99
46,46,161880,39951,39951,147981,419480.423720412014518,0.021738281731358,68591.333720409602392,0.132943669950981,16,2,509989.660000000149012,4889768.486199999228120,-99
