Pool_Elev_m,release_cms
461.35,9.3445
467.44,9.4861
473.54,9.6276
479.63,9.7692
485.73,9.6276
491.83,9.4861
497.92,9.3445
504.02,9.2029
510.11,9.0613
516.21,9.3445
519.26,9.3445
