t, o
0, 26.787737
0, 24.125953
0, 22.568527
0, 36.528732
0, 64.845579
0, 53.235672
0, 40.209922
0, 31.431700
0, 25.881598
0, 21.917239
0, 18.943970
0, 16.735256
0, 15.149513
0, 13.139017
0, 12.147927
0, 11.893076
0, 11.100204
0, 10.448916
0, 10.165748
0, 14.016839
0, 12.516046
0, 11.100204
0, 10.590501
0, 9.825946
0, 8.608321
0, 8.070301
0, 7.645549
0, 7.249113
0, 7.079212
0, 7.192479
0, 20.982783
0, 20.104961
0, 15.772484
0, 14.328324
0, 17.952881
0, 32.281205
0, 56.916862
0, 54.085177
0, 45.873291
0, 36.245564
0, 31.714868
0, 29.449520
0, 25.796647
0, 39.077248
0, 42.192101
0, 34.263384
0, 27.042589
0, 22.596844
0, 20.586347
0, 17.471494
0, 15.376048
0, 13.875255
0, 12.714264
0, 11.864759
0, 11.015253
0, 10.335649
0, 9.740995
0, 9.231292
0, 8.778222
0, 8.353470
0, 8.098618
0, 7.957034
0, 7.588915
0, 7.249113
0, 7.419014
0, 8.325153
0, 8.098618
0, 7.532281
0, 7.305746
0, 12.657630
0, 13.563770
0, 12.516046
0, 11.949709
0, 11.468323
0, 10.562184
0, 9.825946
0, 9.089708
0, 8.466737
0, 7.843767
0, 7.362380
0, 6.994261
0, 6.569508
0, 6.682776
0, 6.258023
0, 5.748320
0, 5.153666
0, 4.955448
0, 4.757230
0, 4.643963
0, 4.474062
0, 4.360794
0, 4.672280
0, 4.643963
0, 4.247527
0, 4.020992
0, 3.851091
0, 3.681190
0, 3.567923
0, 3.454655
0, 3.398022
0, 3.284754
0, 3.171487
0, 3.199804
0, 3.143170
0, 3.001586
0, 3.426338
0, 3.482972
0, 3.143170
0, 2.944952
0, 2.800536
0, 2.687269
0, 2.576833
0, 2.500378
0, 2.752397
0, 3.199804
0, 2.944952
0, 2.585328
0, 2.395605
0, 2.271011
0, 2.180397
0, 2.106773
0, 2.067130
0, 2.021823
0, 1.993506
0, 1.976516
0, 2.018991
0, 1.931209
0, 1.837763
0, 1.766971
0, 1.670694
0, 1.605565
0, 1.565922
0, 1.568753
0, 1.628219
0, 1.931209
0, 2.021823
0, 1.803783
0, 1.616892
0, 1.503625
0, 1.500793
0, 1.475308
0, 1.401684
0, 1.302575
0, 1.248773
0, 1.308238
0, 1.783961
0, 2.081288
0, 1.679189
0, 1.435664
0, 1.308238
0, 1.226119
0, 1.223288
0, 1.144001
0, 1.107189
0, 1.067545
0, 1.027902
0, 0.968436
0, 0.925961
0, 0.863664
0, 0.843842
0, 0.812693
0, 0.750396
0, 0.741901
0, 0.713585
0, 0.736238
0, 0.722080
0, 0.747565
0, 0.730575
0, 0.673941
0, 0.645624
0, 0.654119
0, 0.656951
0, 0.690931
0, 0.679604
0, 0.648456
0, 0.591822
