UGB_DH_ID,UGB_name,pop1990,pop2000,pop2010,pop2015,pop2020,pop2025,pop2030,pop2035,pop2040,pop2045,pop2050,pop2055,pop2060
1054,Falls City,953.330745,953.330745,953.330745,1023.138154,1139.9125,1268.148096,1394.793258,1514.484542,1628.580744,1739.049364,1848.531744,1962.263921,2080.033085
1055,Dallas,15430.63546,15430.63546,15430.63546,16560.53995,18450.65246,20526.27704,22576.15883,24513.48496,26360.24897,28148.29683,29920.38139,31761.25328,33667.46794
1056,Silverton,9645.268977,9645.268977,9645.268977,10186.82736,10996.83856,11888.22861,12766.60938,13594.11347,14383.62966,15159.64651,15938.37518,16781.00245,17610.08204
1057,Salem/Keizer,231390.2726,231390.2726,231390.2726,244830.7227,265274.2119,287764.1282,309933.561,330829.4281,350763.2698,370310.0906,389887.4184,410940.7692,431817.1969
1058,Scotts Mills,366.594225,366.594225,366.594225,387.174988,417.965746,451.848974,485.236811,516.688631,546.694321,576.184726,605.777283,637.794475,669.303976
1059,Mt. Angel,3451.990002,3451.990002,3451.990002,3645.81084,3935.709502,4254.733216,4569.100979,4865.260251,5147.823861,5425.556125,5704.258936,6005.830716,6302.55385
1060,Willamina,2049.852477,2049.852477,2049.852477,2187.250085,2424.56693,2689.59791,2949.214174,3190.976435,3416.68489,3631.923211,3843.96182,4075.806055,4310.714498
1061,Sheridan,6187.799449,6187.799449,6187.799449,6574.056811,7259.537344,8035.565454,8790.77253,9485.574155,10122.88834,10722.6062,11310.24418,11981.60242,12649.61022
1062,Gervais,2478.441137,2478.441137,2478.441137,2617.599576,2825.739451,3054.790374,3280.498442,3493.133277,3696.006772,3895.411482,4095.513021,4312.033899,4525.073572
1063,Amity,1620.99522,1620.99522,1620.99522,1722.18165,1901.754481,2105.047731,2302.88657,2484.901214,2651.856083,2808.961981,2962.903356,3138.776622,3313.772185
1064,Molalla,8459.212774,8459.212774,8459.212774,8893.158409,9668.248961,10506.06106,11317.70332,12048.40069,12709.69046,13324.47223,13927.21989,14523.1258,15220.67658
1065,Woodburn,24616.55368,24616.55368,24616.55368,25998.71326,28066.01531,30341.01157,32582.8057,34694.7529,36709.7478,38690.2898,40677.75289,42828.29734,44944.2655
1066,Hubbard,3297.295218,3297.295218,3297.295218,3482.430321,3759.337691,4064.064925,4364.344856,4647.232278,4917.133303,5182.41949,5448.632731,5736.690109,6020.116124
1067,St. Paul,428.387422,428.387422,428.387422,452.440334,488.416377,528.0068,567.019426,603.772403,638.838176,673.304384,707.891037,745.315699,782.13865
1068,Donald,983.254166,983.254166,983.254166,1038.461495,1121.035334,1211.905063,1301.448606,1385.805698,1466.290243,1545.398643,1624.783491,1710.682265,1795.199965
1069,Dayton,2718.075587,2718.075587,2718.075587,2887.744419,3188.851123,3529.732091,3861.467134,4166.668255,4446.617233,4710.051511,4968.179536,5263.08283,5556.514398
1070,Aurora,987.586152,987.586152,987.586152,1043.036481,1125.974485,1217.244881,1307.183165,1391.911942,1472.750908,1552.207469,1631.941615,1718.218031,1803.10793
1071,McMinnville,32606.50468,32606.50468,32606.50468,34641.88132,38254.00941,42343.27643,46322.82736,49984.07279,53342.38912,56502.59227,59599.14068,63136.85159,66656.90741
1072,Lafayette,3701.936322,3701.936322,3701.936322,3933.020114,4343.118292,4807.387807,5259.200851,5674.875501,6056.157499,6414.946977,6766.5095,7168.158822,7567.803697
1073,Barlow,135.311269,135.311269,135.311269,142.252546,154.650684,168.052098,181.034907,192.722944,203.300756,213.134638,222.776025,232.307975,243.465807
1074,Dundee,3152.007727,3152.007727,3152.007727,3348.76365,3697.941084,4093.242616,4477.938105,4831.863618,5156.505561,5461.996285,5761.33363,6103.317299,6443.594285
1075,Canby,16855.14592,16855.14592,16855.14592,17719.79104,19264.17403,20933.53093,22550.7439,24006.67262,25324.30535,26549.26998,27750.2564,28937.61052,30327.49402
1076,Carlton,2013.845687,2013.845687,2013.845687,2139.554791,2362.64735,2615.209004,2860.994363,3087.120511,3294.537128,3489.71786,3680.967144,3899.463543,4116.869527
1077,Estacada,3317.507805,3317.507805,3317.507805,3487.691257,3791.663864,4120.234412,4438.541752,4725.104378,4984.446949,5225.550154,5461.933859,5695.634391,5969.197691
1078,Newberg,22653.87894,22653.87894,22653.87894,24067.98869,26577.57116,29418.65336,32183.50859,34727.21609,37060.45888,39256.05942,41407.43485,43865.31481,46310.92863
1079,Yamhill,1049.950213,1049.950213,1049.950213,1115.490637,1231.803461,1363.480463,1491.624537,1609.518971,1717.658896,1819.419449,1919.13028,2033.046824,2146.394863
1080,not found in 2011 UGB shapefile,117.347431,117.347431,117.347431,123.367188,134.119357,145.741609,157.000828,167.137169,176.310677,184.839019,193.200422,201.466916,211.143442
1081,not found in 2011 UGB shapefile,0.66437,0.66437,0.66437,0.698451,0.759325,0.825125,0.88887,0.946258,0.998194,1.046478,1.093816,1.140618,1.195402
1082,Sandy,8290.494232,8290.494232,8290.494232,8715.784845,9475.416258,10296.51824,11091.97233,11808.09599,12456.19637,13058.71635,13649.44224,14233.46284,14917.10101
1083,Gaston,799.501811,799.501811,799.501811,859.076222,941.414446,1029.752685,1116.885016,1198.823697,1275.025723,1345.899203,1413.112222,1509.070914,1590.070663
1084,North Plains,1967.185991,1967.185991,1967.185991,2119.538482,2318.415321,2528.654441,2736.812107,2933.748807,3117.57947,3288.01819,3448.197392,3689.803927,3885.935872
1085,Banks,1793.136414,1793.136414,1793.136414,1932.009302,2113.29023,2304.928145,2494.668765,2674.181211,2841.747195,2997.106107,3143.113226,3363.343279,3542.122173
1086,Metro,12687.4,12687.4,12687.4,13237.4,14147.4,14898.5,15542.5,15918.5,16262.5,17104.7,18451.7,19063,19577
1087,Scappoose,7293.0999,7293.0999,7293.0999,7596.683672,8110.486149,8671.994516,9195.909843,9654.974358,10065.20684,10446.1066,10824.1441,11213.82502,11659.07266
1088,St. Helens,11453.83132,11453.83132,11453.83132,11930.61038,12737.53843,13619.3887,14442.19901,15163.16096,15807.43208,16405.63609,16999.34491,17611.33976,18310.60226
