pool_elevation_m,release_cms
242,0
244,0
244,1
244,3
244,6
244,11
244,16
244,19
244,23
244,28
245,31
245,35
245,40
245,47
245,2059
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
