obs,sim
0.98825794634,1.631941
1.08170354012,2.472708
1.18364418788,2.376821
1.14966397196,2.214253
1.27992146632,1.877637
2.54285282468,2.504401
9.3728762246,3.505295
9.4295099178,5.192165
6.3996073316,4.197711
3.9077248308,3.081601
2.58532809458,2.35441
2.10111001772,1.907747
1.57724835562,1.988864
1.37053537544,1.725337
1.2176244038,1.520903
1.10152533274,1.341314
1.01374310828,1.250829
0.95710941508,1.127659
0.9769312077,1.201029
1.37619874476,1.341532
1.55459487834,2.704215
2.0246545319,3.004552
1.85192176764,2.890503
1.77263459716,2.424926
8.070301281,2.631978
7.220795883,4.100783
6.2580230986,3.761114
4.0209922172,3.769526
2.68726874234,3.081095
2.0104961086,2.463401
2.05013969384,1.986657
2.16340708024,2.094793
1.9397039921,1.789635
1.7698029125,1.858653
1.45548591524,1.819046
1.38186211408,1.523103
1.42433738398,1.542588
2.63913010312,1.924591
4.7572302288,3.84215
3.1714868192,3.8195
2.28800120528,2.805889
1.72166427328,2.247852
1.44132749194,1.752759
1.29691157428,1.43003
1.13833723332,1.217946
1.03922827022,1.058533
1.01374310828,0.930393
0.92312919916,1.070089
0.86932719062,1.046426
1.36204032146,1.176
1.04205995488,1.77608
1.01657479294,1.483211
0.9627727844,1.416031
2.46639733886,1.166826
1.55176319368,3.100843
1.35637695214,2.495457
1.21196103448,1.817727
1.08453522478,1.379899
0.991089631,1.101972
0.8919806679,0.895413
0.80986181276,0.758933
0.74473306558,0.662628
0.70508948034,0.58677
0.70225779568,0.532286
2.07845654044,0.586113
1.39885222204,2.684359
1.25726798904,2.208511
1.1468322873,1.62608
1.24027788108,1.324769
4.1908932968,1.516121
6.8809937238,3.85221
4.6156459958,3.82742
2.9166351998,3.207861
2.20021898082,2.474203
1.8264366057,2.083059
1.5432681397,1.85512
1.46681265388,1.606093
2.9166351998,1.446961
2.38427848372,1.950438
1.87740692958,1.80462
1.56592161698,1.680869
1.3733670601,1.351578
1.2034659805,1.12039
1.0618817475,1.084415
0.96560446906,0.912798
0.88065392926,0.772797
0.80419844344,0.670722
0.7645548582,0.584221
0.69942611102,0.51509
NaN,0.464363
NaN,0.422862
NaN,0.388941
NaN,0.359868
NaN,0.334807
NaN,0.324329
NaN,0.573442
NaN,0.554543
NaN,0.503757
NaN,0.450742
NaN,0.939559
NaN,1.245031
NaN,1.280518
NaN,1.009694
NaN,1.650241
NaN,1.532483
NaN,1.244268
NaN,1.174163
NaN,1.141156
NaN,0.90139
NaN,0.714673
NaN,0.580988
NaN,0.480882
0.54085177006,0.399856
0.50120818482,0.330866
0.47572302288,0.287462
0.47855470754,0.273778
0.50403986948,0.460513
0.44740617628,0.563192
0.41908932968,0.491572
0.39926753706,0.404871
0.38510911376,0.334315
0.37095069046,0.27699
0.35962395182,0.226291
0.32847542056,0.195677
0.28600015066,0.172878
0.30299025862,0.247827
0.29449520464,0.270673
0.282035792136,0.253876
0.276655591282,0.21743
0.27750509668,0.185028
0.255701124798,0.149065
0.233330815984,0.129891
0.24352488076,0.114832
0.240976364566,0.177747
0.231348636722,0.167388
0.227667446664,0.145516
0.28883183532,0.161245
0.246073396954,0.296091
0.2548516194,0.277325
0.31998036658,0.322339
0.3398021592,0.386353
0.276655591282,0.367238
0.228233783596,0.353148
0.211526844102,0.285988
0.197934757734,0.226318
0.191705051482,0.179367
0.218606055752,0.150067
0.41625764502,0.258457
0.43607943764,0.404366
0.253152608604,0.379785
0.204730800918,0.303618
0.188590198356,0.234639
0.179528807444,0.182688
0.169334742668,0.143091
0.15715849863,0.108007
0.150362455446,0.098825
0.145548591524,0.0813
0.142150569932,0.068005
0.156308993232,0.084849
0.14583175999,0.149052
0.135637695214,0.137583
0.148380276184,0.113797
0.109586196342,0.090991
0.084667371334,0.073621
0.082685192072,0.05734
0.081269349742,0.048193
0.09344559378,0.040833
0.159707014824,0.040901
0.19113871455,0.118629
0.142433738398,0.137821
0.12034659805,0.118003
0.107037680148,0.094623
0.101374310828,0.075446
0.104489163954,0.060829
0.099392131566,0.049348
0.084101034402,0.039216
0.085233708266,0.032841
0.09202975145,0.028566
0.241542701498,0.03895
0.52102997744,0.234454
0.188873366822,0.264518
0.144132749194,0.248286
0.107887185546,0.197532
0.099392131566,0.159644
0.102506984692,0.125482
0.098542626168,0.099501
0.088914898324,0.078849
0.091746582984,0.063897
0.109869364808,0.070934
0.085233708266,0.079557
0.086649550596,0.069682
0.077304991218,0.057119
0.066261421044,0.0453
0.065411915646,0.038211
0.071075284966,0.033038
0.061164388656,0.029364
0.0566336932,0.026258
0.061447557122,0.024201
0.049837650016,0.02244
0.050403986948,0.021284
0.048421807686,0.020261
0.062863399452,0.019591
0.056916861666,0.01898
0.05097032388,0.018577
0.051536660812,0.017989
0.049837650016,0.017515
0.05238616621,0.017096
0.052952503142,0.016799
0.05097032388,0.016534
0.051536660812,0.01634
0.046439628424,0.016159
0.038794079842,0.016018
0.041908932968,0.01588
0.039360416774,0.015769
0.03964358524,0.015661
0.060314883258,0.015334
0.073057464228,0.021429
0.048704976152,0.021876
0.045873291492,0.020534
0.058615872462,0.018965
0.052669334676,0.017674
0.045023786094,0.016651
0.04813863922,0.015864
0.044740617628,0.018344
0.0424752699,0.01804
0.043324775298,0.01759
0.044174280696,0.017256
0.045590123026,0.016981
0.047855470754,0.016764
0.047572302288,0.016587
0.051819829278,0.01645
0.070508948034,0.016326
0.069093105704,0.024391
0.065695084112,0.025074
0.06796043184,0.023478
0.06512874718,0.021665
0.068526768772,0.020187
0.079570338946,0.019024
0.088631729858,0.018155
0.090047572188,0.017485
0.07503964349,0.017888
0.040776259104,0.017744
0.04389111223,0.017448
0.0424752699,0.017183
0.040776259104,0.016878
0.042758438366,0.016627
0.03964358524,0.016432
0.042192101434,0.016271
0.044457449162,0.016151
0.044740617628,0.017471
0.047005965356,0.018295
0.047855470754,0.018051
0.046156459958,0.01755
0.045873291492,0.017083
0.044457449162,0.016708
0.043324775298,0.016405
0.048421807686,0.016169
0.047855470754,0.015971
0.062863399452,0.016124
0.188023861424,0.031089
0.067394094908,0.043129
0.053518840074,0.041031
0.049837650016,0.035455
0.048988144618,0.030666
0.063146567918,0.026687
0.054368345472,0.023828
0.06229706252,0.021563
0.061730725588,0.019964
0.063996073316,0.018693
0.062580230986,0.017798
0.065695084112,0.017028
0.154893150902,0.016713
0.142150569932,0.033413
0.095710941508,0.072366
0.06796043184,0.070591
0.158857509426,0.060907
0.128275315098,0.102717
0.075889148888,0.098371
0.06229706252,0.085313
0.060598051724,0.069392
0.05804953553,0.055903
0.054368345472,0.045492
0.05238616621,0.037638
0.05238616621,0.033307
0.051253492346,0.029074
0.0566336932,0.025536
0.05946537786,0.022718
0.059182209394,0.020195
0.05946537786,0.018386
0.064562410248,0.017361
0.071358453432,0.016646
0.07645548582,0.016103
0.08353469747,0.015665
0.08778222446,0.01535
0.092879256848,0.015105
0.089481235256,0.014929
0.094578267644,0.01479
0.108453522478,0.014689
0.109869364808,0.014608
0.115815902594,0.014549
0.118647587254,0.0145
0.127708978166,0.015909
0.121479271914,0.016092
0.14016839067,0.015831
0.166503058008,0.015757
0.19397039921,0.015615
0.239843690702,0.015425
0.240410027634,0.015249
0.231065468256,0.015109
0.171883258862,0.014994
0.197368420802,0.019547
0.39077248308,0.059713
0.5238616621,0.088574
0.262780336448,0.195801
0.208411990976,0.207999
0.58332703996,0.191532
0.44457449162,0.238913
0.34829721318,0.276247
0.183493165968,0.272409
0.238427848372,0.225907
0.226817941266,0.262921
0.21096050717,0.241717
0.28600015066,0.263619
0.188023861424,0.231134
0.163671373348,0.186212
0.146398096922,0.148578
0.144132749194,0.115963
0.143566412262,0.094299
0.134788189816,0.083246
0.132806010554,0.068781
0.131106999758,0.055764
0.129691157428,0.045451
0.129407988962,0.03761
0.13025749436,0.031728
0.13167333669,0.026813
0.13167333669,0.022863
0.128275315098,0.020445
0.157441667096,0.018901
0.14583175999,0.069342
0.103922827022,0.07568
0.103073321624,0.066122
0.098542626168,0.054581
0.102223816226,0.044798
0.62580230986,0.063904
0.96843615372,0.364672
0.8919806679,0.711798
1.07037680148,1.051367
1.28558483564,1.117562
0.8778222446,1.620038
3.2847542056,1.72242
1.25726798904,2.428233
1.14966397196,2.152524
1.06471343216,1.829401
0.90897077586,1.391119
0.8636638213,1.369418
0.72491127296,1.377693
0.65695084112,1.358971
0.61164388656,1.076314
0.54085177006,0.954355
0.62580230986,0.793841
1.31390168224,1.531197
1.27142641234,1.900696
1.37619874476,2.185757
2.73823906622,1.817435
7.1641621898,3.154141
3.0582194328,3.189338
2.59382314856,2.803299
3.7944574444,3.245133
3.3130710522,2.634051
2.07279317112,3.076798
1.48380276184,2.322007
1.19497092652,1.71417
1.01091142362,1.33275
0.87215887528,1.097093
0.75889148888,0.932399
0.70508948034,0.806989
0.94578267644,1.075527
0.89764403722,2.272361
0.9344559378,2.533712
0.87499055994,1.926719
0.8211885514,1.443515
0.7503964349,1.138842
0.68526768772,0.944716
0.62580230986,0.802434
0.56916861666,0.692987
0.53235671608,0.607258
0.73906969626,0.570032
0.62863399452,1.608153
0.75889148888,1.505587
0.74473306558,1.841419
1.56592161698,1.759618
1.46398096922,2.598979
1.26293135836,2.126902
1.80095144376,1.565783
5.7766367064,2.872512
10.901985941,3.835402
10.052480543,8.098457
6.0598051724,5.342627
3.4546552852,3.610135
2.16907044956,2.637748
1.5715849863,1.99189
1.29691157428,1.591637
1.12417881002,1.341545
0.99675300032,1.164011
0.88631729858,1.026703
0.79853507412,0.91733
0.7362380116,0.835748
0.68243600306,0.760113
0.64279241782,0.69436
0.5946537786,0.640428
0.70225779568,0.599504
0.8919806679,1.583654
3.8510911376,2.350601
6.6261421044,5.077586
3.2847542056,3.960515
2.0104961086,3.226176
1.61122857154,2.543684
1.35637695214,2.249868
1.20629766516,1.796737
1.0901985941,1.439364
0.98542626168,1.204949
0.9061390912,1.037072
0.8211885514,0.906251
0.78437665082,0.785317
0.74190138092,1.084459
0.67110926442,1.004261
0.68809937238,1.047399
0.62013894054,1.045497
0.58899040928,0.995434
0.63429736384,1.102126
4.530695456,1.596908
3.2847542056,4.507435
5.6067356268,4.036209
4.2758438366,4.056363
2.6193083105,2.925433
2.06146643248,2.154334
1.80661481308,2.391804
1.8122781824,2.344507
1.56592161698,2.216968
1.43283243796,2.045505
1.24877293506,1.760521
1.14116891798,1.548799
1.1609907106,1.323014
1.12417881002,1.677277
1.35637695214,1.584271
