Elevation (m),Release (cms)
---------------------------,
308,0
308,0
308,6
308,14
309,28
309,57
309,81
309,94
309,113
309,142
309,157
309,177
309,202
309,236
309,3115
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
