Elevation (m),Release (cms)
---------------------------,
305,0
305,150
306,226
306,304
306,383
307,464
307,547
307,630
308,715
308,802
308,890
308,979
309,1070
309,1162
309.4,1239
309,3115
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
