timeInRun,elev_m,inflow_cms,outlfow_cms
706763,252.08,30.99,22.47
706764,252.19,51.05,42.03
706765,252.3,61.42,52.92
706766,252.4,44.13,35.64
706767,252.51,34.45,25.96
706768,252.62,27.71,19.21
706769,252.72,23.04,14.33
706770,252.83,19.93,10.93
706771,252.94,17.16,8.17
706772,253.04,14.5,5.51
706773,253.15,23.04,13.79
706774,253.26,18.54,9.29
706775,253.37,15.78,6.53
706776,253.48,14.5,5.38
706777,253.57,12.74,5.38
706778,253.59,12.18,10.16
706779,253.59,15.78,15.78
706780,253.59,27.71,27.71
706781,253.59,24.6,24.6
706782,253.59,18.54,18.54
706783,253.59,16.47,16.47
706784,253.59,12.74,12.74
706785,253.59,12.18,12.18
706786,253.59,14.5,14.5
706787,253.59,12.18,12.18
706788,253.59,11.18,11.18
706789,253.59,10.25,10.25
706790,253.59,8.52,8.52
706791,253.59,8.34,8.34
706792,253.59,7.92,7.92
706793,253.59,7.16,7.16
706794,253.59,6.81,6.81
706795,253.59,6.47,6.47
706796,253.59,7.16,7.16
706797,253.59,13.73,13.73
706798,253.59,22.86,22.86
706799,253.59,16.98,16.98
706800,253.59,13.73,13.73
706801,253.59,11.52,11.52
706802,253.59,10.06,10.06
706803,253.59,8.34,8.34
706804,253.59,7.54,7.54
706805,253.59,12,12
706806,253.59,10.55,10.55
706807,253.59,12,12
706808,253.59,13.11,13.11
706809,253.59,11.52,11.52
706810,253.59,9.61,9.61
706811,253.59,8.34,8.34
706812,253.59,7.16,7.16
706813,253.59,6.47,6.47
706814,253.59,5.81,5.81
706815,253.59,5.22,5.38
706816,253.59,4.95,5.38
706817,253.58,4.46,5.38
706818,253.56,4.22,5.38
706819,253.55,3.98,5.38
706820,253.56,3.77,2.83
706821,253.56,3.31,2.83
706822,253.57,3.31,2.83
706823,253.57,3.1,2.83
706824,253.57,2.89,2.83
706825,253.57,2.72,2.83
706826,253.57,2.72,2.83
706827,253.57,2.51,2.83
706828,253.56,2.51,2.83
706829,253.56,2.89,2.83
706830,253.56,2.89,2.83
706831,253.56,2.89,2.83
706832,253.56,2.72,2.83
706833,253.56,2.52,2.83
706834,253.55,2.18,2.83
706835,253.54,2.18,2.83
706836,253.53,2.01,2.83
706837,253.52,1.84,2.83
706838,253.51,1.85,2.83
706839,253.5,1.85,2.83
706840,253.49,1.71,2.83
706841,253.47,1.71,2.83
706842,253.46,1.54,2.83
706843,253.44,1.54,2.83
706844,253.43,1.54,2.83
706845,253.41,1.41,2.83
706846,253.39,1.28,2.83
706847,253.37,1.28,2.83
706848,253.35,1.29,2.89
706849,253.32,1.22,3.95
706850,253.28,1.22,4.32
706851,253.24,1.19,4.48
706852,253.21,1.21,4.46
