timeInRun,elev_m,inflow_cms,outlfow_cms
706763,468.44,45.46,25.84
706764,468.6,56.5,36.88
706765,468.76,60.75,41.66
706766,468.91,54.52,35.43
706767,469.07,50.84,31.75
706768,469.23,48.85,29.76
706769,469.38,54.52,35.43
706770,469.54,58.77,38.98
706771,469.7,58.77,38.94
706772,469.7,56.5,56.5
706773,469.7,60.75,60.75
706774,469.7,54.52,54.52
706775,469.7,47.16,47.16
706776,469.7,42.06,42.06
706777,469.7,38.94,38.94
706778,469.7,38.66,38.66
706779,469.7,37.24,37.24
706780,469.7,36.96,36.96
706781,469.7,34.98,34.98
706782,469.7,33.56,33.56
706783,469.7,34.7,34.7
706784,469.7,36.68,36.68
706785,469.7,40.64,40.64
706786,469.7,42.06,42.06
706787,469.7,38.94,38.94
706788,469.7,33.28,33.28
706789,469.7,31.86,31.86
706790,469.7,29.03,29.03
706791,469.7,26.67,26.67
706792,469.7,25.7,25.7
706793,469.7,25.25,25.25
706794,469.7,24.29,24.29
706795,469.7,23.61,23.61
706796,469.7,27.46,27.46
706797,469.7,37.82,37.82
706798,469.7,40.37,40.37
706799,469.7,36.41,36.41
706800,469.7,33.01,33.01
706801,469.7,30.74,30.74
706802,469.7,30.18,30.18
706803,469.7,33.01,33.01
706804,469.7,30.74,30.74
706805,469.7,36.97,36.97
706806,469.7,33.58,33.58
706807,469.7,30.74,30.74
706808,469.7,27.46,27.46
706809,469.7,24.74,24.74
706810,469.7,22.93,22.93
706811,469.7,21.83,21.83
706812,469.7,21.17,21.17
706813,469.7,20.78,20.78
706814,469.7,19.73,19.73
706815,469.7,18.34,18.34
706816,469.7,17.21,17.21
706817,469.7,16.48,16.48
706818,469.7,15.51,15.51
706819,469.7,14.89,14.89
706820,469.7,14.44,14.44
706821,469.7,13.66,13.66
706822,469.7,13.32,13.32
706823,469.7,13.04,13.04
706824,469.7,12.87,12.87
706825,469.7,12.59,12.59
706826,469.7,12.17,12.17
706827,469.7,12.03,12.03
706828,469.7,11.89,11.89
706829,469.7,11.89,11.89
706830,469.7,11.75,11.75
706831,469.7,11.89,11.89
706832,469.7,11.47,11.47
706833,469.69,11.05,11.33
706834,469.69,10.62,11.34
706835,469.68,10.48,11.57
706836,469.66,10.2,12.29
706837,469.64,10.06,13.2
706838,469.61,9.95,13.52
706839,469.58,9.67,13.54
706840,469.55,9.44,13.8
706841,469.52,9.3,12.56
706842,469.49,9.31,13.62
706843,469.45,9.05,13.77
706844,469.41,8.94,14.14
706845,469.37,8.8,13.71
706846,469.32,8.69,14.38
706847,469.27,8.58,14.75
706848,469.22,8.58,14.87
706849,469.14,8.47,18.2
706850,469.06,8.36,18.26
706851,468.98,8.22,18.15
706852,468.9,8.21,18.04
706853,468.81,8.21,18.28
706854,468.73,8.21,18.65
706855,468.64,8.1,18.98
706856,468.55,8.11,19.02
706857,468.46,7.99,18.92
706858,468.37,7.88,19.21
706859,468.27,7.77,19.68
706860,468.17,7.66,19.7
706861,468.07,7.66,19.35
706862,467.98,7.66,19.46
706863,467.87,7.55,20.61
706864,467.76,7.55,21.05
706865,467.65,7.47,20.87
706866,467.54,7.47,20.85
706867,467.42,7.24,20.86
706868,467.3,7.13,20.84
706869,467.19,7.13,20.95
706870,467.07,7.02,21.36
706871,466.95,7.02,21.75
706872,466.82,7.02,22.07
706873,466.69,7.03,22.41
706874,466.55,7.03,22.94
706875,466.42,7.03,23.12
706876,466.28,6.95,23.37
706877,466.13,6.95,24.02
706878,465.98,6.95,24.66
706879,465.8,6.95,27.53
706880,465.63,6.95,27.68
706881,465.38,6.95,35.42
706882,465.15,6.95,32.36
706883,465,7.64,25.19
706884,464.89,8.89,22
706885,464.8,7.96,18.95
706886,464.72,7.65,15.84
706887,464.59,7.42,22
706888,464.45,7.31,23.29
706889,464.25,7.11,29.61
706890,464.05,7,29.9
706891,463.84,6.91,30.13
706892,463.63,6.91,30.53
706893,463.45,6.91,27.49
706894,463.27,7,26.42
706895,463.13,7.76,22.82
706896,463,8.64,23.2
706897,462.82,7.96,27.74
706898,462.56,7.43,36.37
706899,462.25,7.11,41.39
706900,462.08,7,25.6
706901,462.01,6.8,14.55
706902,461.95,6.8,13.35
706903,461.9,6.81,11.95
706904,461.8,6.72,17.79
706905,461.69,6.72,18.51
706906,461.58,6.72,19.06
706907,461.45,6.72,20.27
706908,461.33,6.53,19.34
706909,461.17,6.53,23.68
706910,461.01,6.45,23.85
706911,460.92,6.45,16.77
706912,460.85,6.45,13.94
706913,460.78,6.68,14
706914,460.73,6.6,11.33
706915,460.68,6.6,12.39
706916,460.62,6.57,13.36
706917,460.4,6.54,29.84
706918,460.21,6.51,27.17
706919,459.99,6.48,28.7
706920,459.86,6.48,20.84
706921,459.69,6.4,24.48
706922,459.48,6.31,27.65
706923,459.31,6.31,24.08
706924,459.15,6.31,23.28
706925,459.01,6.31,21.57
706926,458.87,6.22,21.04
706927,458.7,6.22,23.18
706928,458.54,6.22,23.63
706929,458.14,6.22,46.78
706930,457.86,6.22,35.51
706931,457.66,6.31,26.45
706932,457.45,6.31,27.4
706933,457.22,6.3,29.82
706934,456.94,6.39,35
706935,456.62,6.39,37.75
706936,456.34,6.38,35.19
706937,456.08,6.38,32.48
706938,455.84,6.38,29.68
706939,455.63,6.3,26.88
706940,455.43,6.29,25.87
706941,455.19,6.21,30.14
706942,454.92,6.21,32.76
706943,454.65,6.21,32.23
706944,454.38,6.56,32.22
706945,454.11,6.56,32.91
706946,453.84,6.55,31.84
706947,453.57,6.72,32.01
706948,453.3,6.72,33.15
706949,453.01,6.64,33.69
706950,452.73,6.64,33.41
706951,452.44,6.64,32.53
706952,452.16,6.64,32.85
706953,451.87,6.55,33.32
706954,451.58,6.47,32.63
706955,451.3,6.38,31.81
706956,451.01,6.3,31.73
706957,450.4,6.3,61.98
706958,449.79,6.3,59.12
706959,449.18,6.3,60.12
706960,448.57,6.3,58.12
706961,447.96,6.3,58.69
706962,447.35,6.3,56.26
706963,446.75,6.3,57.26
706964,446.07,6.3,61.12
706965,445.4,6.21,59.61
706966,444.73,6.21,59.61
706967,444.06,6.13,57.95
706968,443.39,6.13,57.81
706969,442.72,6.13,57.09
706970,442.05,6.04,57.01
706971,441.38,6.04,54.87
706972,441.35,6.04,8.28
706973,441.35,6.04,6.04
706974,441.35,6.11,6.11
706975,441.35,6.11,6.11
706976,441.35,6.19,6.19
706977,441.35,6.28,6.28
706978,441.35,7.27,7.27
706979,441.35,9.56,9.56
706980,441.38,14.18,11.94
706981,441.38,14.18,14.18
706982,441.38,11.18,11.33
706983,441.35,8.97,11.06
706984,441.35,7.78,7.78
706985,441.35,7.38,7.38
706986,441.35,7.1,7.1
706987,441.35,6.9,6.9
706988,441.35,6.9,6.9
706989,441.35,6.99,6.99
706990,441.35,7.58,7.58
706991,441.35,9.19,9.19
706992,441.35,8.43,8.43
706993,441.35,7.78,7.78
706994,441.35,8.09,8.09
706995,441.38,13.16,11.33
706996,441.38,15.42,15.02
706997,441.38,21.8,21.8
706998,441.38,13.58,13.58
706999,441.38,11.46,11.46
707000,441.38,11.18,11.33
707001,441.36,10.04,11.33
707002,441.35,9.31,10.11
707003,441.35,9.08,9.08
707004,441.35,8.32,8.32
707005,441.35,7.74,7.74
707006,441.35,7.43,7.43
707007,441.35,7.54,7.54
707008,441.35,7.85,7.85
707009,441.35,7.94,7.94
707010,441.35,6.75,6.75
707011,441.35,6.58,6.58
707012,441.35,7.23,7.23
707013,441.35,9.86,9.86
707014,441.35,10.29,10.29
707015,441.35,8.02,8.02
707016,441.35,7.74,7.74
707017,441.35,8.02,8.02
707018,441.35,7.74,7.74
707019,441.35,8.05,8.05
707020,441.35,8.16,8.16
707021,441.35,7.74,7.74
707022,441.35,8.05,8.05
707023,441.35,7.74,7.74
707024,441.35,6.95,6.95
707025,441.35,7.06,7.06
707026,441.35,8.28,8.28
707027,441.35,7.63,7.63
707028,441.35,7.43,7.43
707029,441.35,7.24,7.24
707030,441.35,7.63,7.63
707031,441.35,7.86,7.86
707032,441.35,7.64,7.64
707033,441.35,7.35,7.35
707034,441.35,7.16,7.16
707035,441.35,7.24,7.24
707036,441.35,7.46,7.46
707037,441.35,8,8
707038,441.35,8.65,8.65
707039,441.38,13.52,11.33
707040,441.47,18.23,11.33
707041,441.49,12.96,11.33
707042,441.49,10.98,11.33
707043,441.47,9.85,11.33
707044,441.44,9.12,11.33
707045,441.41,9.01,11.33
707046,441.39,10.23,11.33
707047,441.56,23.8,11.33
707048,441.74,24.25,11.33
707049,441.89,21.82,11.33
707050,441.99,18.43,11.33
707051,442.09,19,11.33
707052,442.26,24.04,11.33
707053,442.58,35.37,11.33
707054,442.73,23.36,11.33
707055,442.81,17.87,11.33
707056,442.87,15.72,11.33
707057,442.95,17.14,11.33
707058,443.05,19.01,11.33
707059,443.21,23.82,11.33
707060,443.45,28.58,11.33
707061,443.63,25.66,11.33
707062,443.78,23.37,11.33
707063,443.94,23.37,11.33
707064,444.33,42.12,11.33
707065,445.26,83.74,11.33
707066,445.78,52.88,11.33
707067,446.26,49.2,11.33
707068,446.89,63.36,11.33
707069,447.57,68.17,11.33
707070,448.08,52.88,11.33
707071,448.58,54.87,11.33
707072,449.37,78.37,11.33
707073,450.04,70.44,11.33
707074,450.55,56.85,11.33
707075,451.1,61.1,11.33
707076,451.66,61.1,11.33
707077,452.22,63.37,11.33
707078,452.68,52.89,11.33
707079,453.06,47.51,11.33
707080,453.39,42.42,11.33
707081,453.68,39.02,11.33
707082,453.92,33.93,11.33
707083,454.12,29.97,11.33
707084,454.28,27.32,11.33
707085,454.42,24.94,11.33
707086,454.55,23.81,11.33
707087,454.69,24.49,11.33
707088,454.83,24.26,11.33
707089,454.95,23.36,11.33
707090,455.08,24.49,11.33
707091,455.21,24.26,11.33
707092,455.34,23.58,11.33
707093,455.48,24.94,11.33
707094,455.67,30.55,11.33
707095,456.2,63.22,11.33
707096,456.67,58.98,11.33
707097,457.01,45.67,11.33
707098,457.32,42.27,11.33
707099,457.66,45.67,11.33
707100,457.98,43.97,11.33
707101,458.24,38.02,11.33
707102,458.48,36.04,11.33
707103,458.81,45.67,11.33
707104,459.17,49.07,11.33
707105,459.53,49.07,11.33
707106,459.69,43.97,26.9
707107,461.6,250.97,46.71
707108,464.21,337.05,48.35
707109,466.01,282.68,76.59
707110,466.44,152.43,102.47
707111,466.36,96.93,106.47
707112,466.12,75.41,102.91
707113,465.99,63.8,78.71
707114,466,57.57,57.26
707115,466.16,61.81,42.44
707116,466.32,53.6,34.42
707117,466.49,45.96,26.77
707118,466.65,42.56,23.37
707119,466.82,45.96,26.77
707120,466.98,47.94,28.63
707121,467.14,45.96,26
707122,467.31,42.56,22.84
707123,467.47,38.03,18.84
707124,467.63,36.33,17.14
707125,467.79,39.51,19.89
707126,467.96,53.39,33.77
707127,468.12,75.19,55.57
707128,468.28,77.45,57.83
707129,468.44,65.84,46.22
707130,468.6,57.35,37.73
707131,468.76,57.35,38.26
707132,468.91,53.39,34.3
707133,469.07,53.39,34.3
707134,469.23,55.37,36.28
707135,469.38,68.11,49.02
707136,469.54,72.64,52.86
707137,469.7,80,60.18
707138,469.7,82.55,82.55
707139,469.7,75.19,75.19
707140,469.7,75.19,75.19
707141,469.7,68.11,68.11
707142,469.7,75.19,75.19
707143,469.7,75.19,75.19
707144,469.7,65.84,65.84
707145,469.7,59.33,59.33
707146,469.7,63.58,63.58
707147,469.7,61.6,61.6
707148,469.7,63.58,63.58
707149,469.7,68.11,68.11
707150,469.7,61.6,61.6
707151,469.7,57.35,57.35
707152,469.7,57.35,57.35
707153,469.7,51.4,51.4
707154,469.7,45.74,45.74
707155,469.7,42.34,42.34
707156,469.7,43.77,43.77
707157,469.7,49.43,49.43
707158,469.7,55.1,55.1
707159,469.7,53.12,53.12
707160,469.7,51.13,51.13
707161,469.7,49.43,49.43
707162,469.7,47.45,47.45
707163,469.7,47.45,47.45
707164,469.7,53.12,53.12
707165,469.7,55.1,55.1
707166,469.7,55.1,55.1
707167,469.7,51.13,51.13
707168,469.7,47.45,47.45
707169,469.7,43.77,43.77
707170,469.7,47.45,47.45
707171,469.7,51.13,51.13
707172,469.7,57.08,57.08
707173,469.7,59.06,59.06
707174,469.7,67.84,67.84
707175,469.7,116.83,116.83
707176,469.7,113.15,113.15
707177,469.7,87.66,87.66
707178,469.7,70.11,70.11
707179,469.7,59.06,59.06
707180,469.7,51.13,51.13
707181,469.7,45.47,45.47
707182,469.7,42.07,42.07
707183,469.7,40.09,40.09
707184,469.7,39.24,39.24
707185,469.7,36.69,36.69
707186,469.7,33.25,33.25
707187,469.7,30.13,30.13
707188,469.7,27.44,27.44
707189,469.7,26.03,26.03
707190,469.7,24.61,24.61
707191,469.7,22.83,22.83
707192,469.7,21.1,21.1
707193,469.7,19.88,19.88
707194,469.7,18.98,18.98
707195,469.7,18.07,18.07
707196,469.7,17.2,17.2
707197,469.7,16.41,16.41
707198,469.7,15.61,15.61
707199,469.7,15.25,15.25
707200,469.7,14.51,14.51
707201,469.7,13.78,13.78
707202,469.7,13.41,13.41
707203,469.7,13.07,13.07
707204,469.7,12.74,12.74
707205,469.7,12.23,12.23
707206,469.7,12.06,12.06
707207,469.7,11.75,11.75
707208,469.7,11.58,11.58
707209,469.7,11.58,11.58
707210,469.7,12.41,12.41
707211,469.7,15.64,15.64
707212,469.7,13.43,13.43
707213,469.69,11.76,12.5
707214,469.68,11.14,12.38
707215,469.64,10.8,15.43
707216,469.61,10.66,15.19
707217,469.57,10.46,15.95
707218,469.52,10.2,16.32
707219,469.46,9.95,16.91
707220,469.41,9.84,16.94
707221,469.35,9.7,16.77
707222,469.29,9.7,16.77
707223,469.23,9.7,17.19
707224,469.17,9.56,17.2
707225,469.1,9.45,17.03
707226,469.04,9.34,17.17
707227,468.97,9.2,17.31
707228,468.9,9.2,17.96
707229,468.82,9.2,18.67
707230,468.74,9.09,19.78
707231,468.65,9.09,19.2
707232,468.56,8.98,19.72
707233,468.47,8.76,20.07
707234,468.38,8.76,20.3
707235,468.28,8.65,19.99
707236,468.19,8.53,19.52
707237,468.11,8.54,18.66
707238,468.04,8.76,17.63
707239,467.98,9.73,17.13
707240,467.9,8.88,17.58
707241,467.82,8.65,19.17
707242,467.73,8.54,19.37
707243,467.64,8.43,19.92
707244,467.53,8.43,20.73
707245,467.42,8.2,21.26
707246,467.34,8.32,18.34
707247,467.28,9.48,16.11
707248,467.16,8.94,23.9
707249,467,8.49,27.37
707250,466.83,8.29,28.33
707251,466.65,8.37,29.89
707252,466.48,9.39,29.15
707253,466.3,8.49,29.86
707254,466.11,8.18,29.53
707255,465.94,8.07,28.71
707256,465.74,7.98,30.86
707257,465.56,7.98,28.96
707258,465.38,7.79,28.46
707259,465.2,7.79,28.62
707260,465.02,7.59,28.73
707261,464.86,7.39,25.9
707262,464.7,7.2,25.47
707263,464.53,7.2,25.45
707264,464.42,7.11,20.49
707265,464.34,7.2,15.14
707266,464.31,9.52,13.09
707267,464.25,9.41,16.48
707268,464.17,8.08,17.33
707269,464.09,7.8,16.86
707270,464,7.6,16.91
707271,463.84,7.4,26.19
707272,463.72,7.4,20.38
707273,463.47,7.29,35.79
707274,463.37,7.29,18.38
707275,463.22,7.29,23.37
707276,462.99,7.21,32.25
707277,462.75,7.41,34.33
707278,462.51,12.57,38.68
707279,462.27,11.47,37.78
707280,462.03,9.54,36.26
707281,461.79,10.14,35.94
707282,461.55,9.77,35.57
707283,461.31,8.98,34.78
707284,461.07,8.55,35.23
707285,460.82,8.35,35.03
707286,460.57,8.15,34.83
707287,460.32,7.95,34.63
707288,460.08,7.87,33.74
707289,459.83,7.87,33.92
707290,459.58,7.87,34.28
707291,459.33,7.95,33.47
