timeInRun,active rule
706843,Min Flow from Dorena
706844,Min Flow from Dorena
706845,Min Flow from Dorena
706846,Min Flow from Dorena
706847,Min Flow from Dorena
706848,Min Flow - at Salem
706849,Min Flow - at Albany by Water Year Type
706850,Min Flow - at Salem
706851,Min Flow - at Albany by Water Year Type
706852,Min Flow - at Albany by Water Year Type
706853,Min Flow - at Albany by Water Year Type
706854,Min Flow - at Albany by Water Year Type
706855,Min Flow - at Albany by Water Year Type
706856,Min Flow - at Albany by Water Year Type
706857,Min Flow - at Albany by Water Year Type
706858,Min Flow - at Albany by Water Year Type
706859,Min Flow - at Albany by Water Year Type
706860,Min Flow - at Albany by Water Year Type
706861,Min Flow - at Albany by Water Year Type
706862,Min Flow - at Albany by Water Year Type
706863,Min Flow - at Albany by Water Year Type
706864,Min Flow - at Albany by Water Year Type
706865,Min Flow - at Albany by Water Year Type
706866,Min Flow - at Albany by Water Year Type
706867,Min Flow - at Albany by Water Year Type
706868,Min Flow - at Albany by Water Year Type
706869,Min Flow - at Albany by Water Year Type
706870,Min Flow - at Albany by Water Year Type
706871,Min Flow - at Albany by Water Year Type
706872,Min Flow - at Albany by Water Year Type
706873,Min Flow - at Albany by Water Year Type
706874,Min Flow - at Albany by Water Year Type
706875,Min Flow - at Albany by Water Year Type
706876,Min Flow - at Albany by Water Year Type
706877,Min Flow - at Albany by Water Year Type
706878,Min Flow - at Albany by Water Year Type
706879,Min Flow - at Salem
706880,Min Flow - at Salem:Max Con Flow - at Dorena
706881,Min Flow - at Salem:Max Con Flow - at Dorena
706882,Min Flow - at Albany by Water Year Type:Max Con Flow - at Dorena
706883,Min Flow - at Albany by Water Year Type:Max Con Flow - at Dorena
706884,Min Flow - at Albany by Water Year Type
706885,Min Flow - at Salem
706886,Min Flow - at Albany by Water Year Type
706887,Min Flow - at Albany by Water Year Type
706888,Min Flow - at Albany by Water Year Type
706889,Min Flow - at Albany by Water Year Type
706890,Min Flow - at Albany by Water Year Type
706891,Min Flow - at Albany by Water Year Type:Max Con Flow - at Dorena
706892,Min Flow - at Albany by Water Year Type:Max Con Flow - at Dorena
706893,Min Flow - at Albany by Water Year Type
706894,GC:Max Con Flow - at Dorena
706895,GC
706896,GC
706897,GC
706898,GC
706899,GC
706900,GC
706901,GC
706902,GC
706903,GC
706904,GC
706905,GC
706906,GC
706907,GC
706908,GC
706909,GC
706910,GC
706911,GC
706912,GC
706913,GC
706914,GC
706915,GC
706916,GC
706917,GC
706918,GC
706919,GC
706920,GC
706921,GC
706922,GC
706923,GC
706924,GC
706925,GC
706926,GC
706927,GC
706928,GC
706929,GC
706930,GC
706931,GC
706932,GC
706933,GC
706934,GC
706935,GC
706936,GC
706937,GC
706938,GC
706939,GC
706940,GC
706941,GC
706942,Min Flow from Dorena
706943,Min Flow from Dorena
706944,Min Flow from Dorena
706945,Min Flow from Dorena
706946,Min Flow from Dorena
706947,Min Flow from Dorena:ZB
706948,ZB
706949,ZB
706950,ZB
706951,ZB
706952,ZB
706953,ZB
706954,ZB
706955,ZB
706956,ZB
706957,ZB
706958,ZB
706959,ZB
706960,ZB
706961,ZB
706962,ZB
706963,ZB
706964,ZB
706965,ZB
706966,ZB
706967,ZB
706968,ZB
706969,ZB
706970,ZB
706971,ZB
706972,ZB
706973,ZB
706974,ZB
706975,ZB
706976,ZB
706977,ZB
706978,ZB
706979,GC
706980,GC
706981,GC
706982,GC
706983,Daily BiOp Max Rate of Decrease:ZB
706984,Daily BiOp Max Rate of Decrease
706985,Min Flow from Dorena
706986,Min Flow from Dorena:ZB
706987,ZB
706988,ZB
706989,ZB
706990,ZB
706991,GC
706992,GC
706993,Min Flow from Dorena
706994,Min Flow from Dorena
706995,GC
706996,GC
706997,GC
706998,Daily BiOp Max Rate of Decrease:ZB
706999,GC
707000,GC
707001,GC
707002,GC
707003,GC
707004,GC
707005,GC
707006,GC
707007,Min Flow from Dorena
707008,GC
707009,GC
707010,Min Flow from Dorena
707011,Min Flow from Dorena
707012,Min Flow from Dorena:ZB
707013,Min Flow from Dorena
707014,Min Flow from Dorena:ZB
707015,ZB
707016,ZB
707017,ZB
707018,ZB
707019,GC
707020,GC
707021,GC
707022,GC
707023,GC
707024,GC
707025,GC
707026,GC
707027,GC
707028,GC
707029,GC
707030,GC
707031,GC
707032,Daily BiOp Max Rate of Decrease
707033,Min Flow from Dorena
707034,Min Flow from Dorena
707035,Min Flow from Dorena
707036,Min Flow from Dorena
707037,GC
707038,GC
707039,GC
707040,GC
707041,Daily BiOp Max Rate of Decrease
707042,Daily BiOp Max Rate of Decrease
707043,Min Flow from Dorena
707044,Min Flow from Dorena
707045,Min Flow from Dorena
707046,GC
707047,GC
707048,GC
707049,GC
707050,GC
707051,GC
707052,GC
707053,GC
707054,Daily BiOp Max Rate of Decrease
707055,Daily BiOp Max Rate of Decrease
707056,Daily BiOp Max Rate of Decrease
707057,GC
707058,GC
707059,GC
707060,GC
707061,GC
707062,GC
707063,GC
707064,GC
707065,GC:Winter Ops Max Flood Flow DOR
707066,GC
707067,GC
707068,GC
707069,GC
707070,GC
707071,GC
707072,GC:Winter Ops Max Flood Flow DOR
707073,GC:Max Bankfull Flow - at Goshen
707074,GC
707075,GC
707076,GC
707077,GC
707078,GC
707079,GC
707080,GC
707081,GC
707082,GC
707083,GC
707084,GC
707085,GC
707086,GC
707087,GC
707088,GC
707089,GC
707090,GC
707091,GC
707092,GC
707093,GC
707094,GC
707095,GC
707096,GC
707097,GC
707098,GC
707099,GC
707100,GC
707101,GC
707102,GC
707103,GC
707104,GC
707105,GC
707106,GC
707107,GC:Winter Ops Max Flood Flow DOR
707108,GC:Max Evacuation Release
707109,GC:Max Evacuation Release
707110,GC:Max Evacuation Release
707111,GC:Winter Ops Max Flood Flow DOR
707112,GC:Winter Ops Max Flood Flow DOR
707113,GC:Winter Ops Max Flood Flow DOR
707114,GC:Winter Ops Max Flood Flow DOR
707115,GC
707116,GC
707117,GC
707118,GC
707119,GC
707120,GC
707121,GC
707122,GC
707123,GC
707124,GC
707125,GC
707126,GC
707127,GC
707128,GC
707129,GC
707130,GC
707131,GC
707132,GC
707133,GC
707134,GC
707135,GC
707136,GC
707137,GC
707138,GC
707139,GC
707140,GC
707141,GC
707142,GC
707143,GC
707144,ZB:Max Con Flow - at Dorena
707145,ZB:Max Con Flow - at Dorena
707146,ZB:Max Con Flow - at Dorena
707147,ZB:Max Con Flow - at Dorena
707148,ZB:Max Con Flow - at Dorena
707149,ZB:Max Con Flow - at Dorena
707150,ZB:Max Con Flow - at Dorena
707151,ZB:Max Con Flow - at Dorena
707152,ZB:Max Con Flow - at Dorena
707153,ZB:Max Con Flow - at Dorena
707154,GC
707155,GC
707156,ZB:Max Con Flow - at Dorena
707157,ZB:Max Con Flow - at Dorena
707158,ZB:Max Con Flow - at Dorena
707159,ZB:Max Con Flow - at Dorena
707160,GC
707161,GC
707162,GC
707163,GC
707164,ZB:Max Con Flow - at Dorena
707165,ZB:Max Con Flow - at Dorena
707166,ZB:Max Con Flow - at Dorena
707167,ZB:Max Con Flow - at Dorena
707168,ZB:Max Con Flow - at Dorena
707169,ZB:Max Con Flow - at Dorena
707170,ZB:Max Con Flow - at Dorena
707171,ZB:Max Con Flow - at Dorena
707172,ZB:Max Con Flow - at Dorena
707173,ZB:Max Con Flow - at Dorena
707174,ZB:Max Con Flow - at Dorena
707175,ZB:Max Con Flow - at Dorena
707176,ZB:Max Con Flow - at Dorena
707177,Daily BiOp Max Rate of Decrease:ZB
707178,ZB:Max Con Flow - at Dorena
707179,ZB:Max Con Flow - at Dorena
707180,ZB:Max Con Flow - at Dorena
707181,ZB:Max Con Flow - at Dorena
707182,ZB:Max Con Flow - at Dorena
707183,ZB:Max Con Flow - at Dorena
707184,GC
707185,GC
707186,ZB:Max Con Flow - at Dorena
707187,ZB:Max Con Flow - at Dorena
707188,ZB:Max Con Flow - at Dorena
707189,ZB:Max Con Flow - at Dorena
707190,ZB:Max Con Flow - at Dorena
707191,GC
707192,GC
707193,GC
707194,GC
707195,GC
707196,GC
707197,GC
707198,GC
707199,GC
707200,GC
707201,GC
707202,GC
707203,Min Flow from Dorena
707204,Min Flow from Dorena
707205,Min Flow from Dorena
707206,Min Flow from Dorena
707207,Min Flow from Dorena
707208,Min Flow from Dorena
707209,Min Flow from Dorena
707210,GC
707211,GC
707212,GC
707213,Min Flow from Dorena
707214,Min Flow from Dorena
707215,Min Flow - at Albany by Water Year Type
707216,Min Flow - at Albany by Water Year Type
707217,Min Flow - at Albany by Water Year Type
707218,Min Flow - at Albany by Water Year Type
707219,Min Flow - at Albany by Water Year Type
707220,Min Flow - at Albany by Water Year Type
707221,Min Flow - at Albany by Water Year Type
707222,Min Flow - at Albany by Water Year Type
707223,Min Flow - at Albany by Water Year Type
707224,Min Flow - at Albany by Water Year Type
707225,Min Flow - at Albany by Water Year Type
707226,Min Flow - at Albany by Water Year Type
707227,Min Flow - at Albany by Water Year Type
707228,Min Flow - at Albany by Water Year Type
707229,Min Flow - at Albany by Water Year Type
707230,Min Flow - at Albany by Water Year Type
707231,Min Flow - at Albany by Water Year Type
707232,Min Flow - at Albany by Water Year Type
707233,Min Flow - at Albany by Water Year Type
707234,Min Flow - at Albany by Water Year Type
707235,Min Flow - at Albany by Water Year Type
707236,Min Flow - at Albany by Water Year Type
707237,Min Flow - at Albany by Water Year Type
707238,Min Flow - at Albany by Water Year Type
707239,Min Flow - at Albany by Water Year Type
707240,Min Flow - at Albany by Water Year Type
707241,Min Flow - at Albany by Water Year Type
707242,Min Flow - at Albany by Water Year Type
707243,Min Flow - at Albany by Water Year Type
707244,Min Flow - at Albany by Water Year Type
707245,Min Flow - at Albany by Water Year Type
707246,Min Flow - at Albany by Water Year Type
707247,Min Flow - at Albany by Water Year Type
707248,Min Flow - at Albany by Water Year Type
707249,Min Flow - at Albany by Water Year Type
707250,Min Flow - at Salem
707251,Min Flow - at Salem
707252,Min Flow - at Salem
707253,Min Flow - at Salem
707254,Min Flow - at Salem
707255,GC:Max Con Flow - at Dorena
707256,GC
707257,GC
707258,GC
707259,GC
707260,GC
707261,GC
707262,GC
707263,GC
707264,GC
707265,GC
707266,GC
707267,GC
707268,GC
707269,GC
707270,GC
707271,GC
707272,GC
707273,GC
707274,GC
707275,GC
707276,GC
707277,GC
707278,GC
707279,GC
707280,GC
707281,GC
707282,GC
707283,GC
707284,GC
707285,GC
707286,GC
707287,GC
707288,GC
707289,GC
707290,GC
707291,GC
707292,GC
707293,GC
707294,GC
707295,GC
707296,GC
707297,GC
707298,GC
707299,GC
707300,GC
707301,GC
707302,GC
707303,GC
707304,GC
707305,GC
707306,GC
707307,GC
707308,GC
707309,GC
707310,GC
707311,GC
707312,GC
707313,GC
707314,GC
707315,GC
707316,GC
707317,GC
707318,GC:Winter Ops Max Flood Flow DOR
707319,GC:Max Bankfull Flow - at Goshen
707320,GC:Max Bankfull Flow - at Goshen
707321,GC:Max Bankfull Flow - at Goshen
707322,GC:Max Bankfull Flow - at Goshen
707323,GC:Max Bankfull Flow - at Goshen
707324,GC:Max Bankfull Flow - at Goshen
707325,GC:Max Bankfull Flow - at Goshen
707326,GC:Max Bankfull Flow - at Goshen
707327,GC:Max Bankfull Flow - at Goshen
707328,GC:Max Bankfull Flow - at Goshen
707329,GC:Max Bankfull Flow - at Goshen
707330,GC:Max Bankfull Flow - at Goshen
707331,GC:Max Bankfull Flow - at Goshen
707332,GC:Max Bankfull Flow - at Goshen
707333,GC:Max Bankfull Flow - at Goshen
707334,GC:Max Bankfull Flow - at Goshen
707335,GC:Max Bankfull Flow - at Goshen
707336,GC:Max Bankfull Flow - at Goshen
707337,GC:Max Bankfull Flow - at Goshen
707338,GC
707339,GC
707340,GC
707341,GC
707342,GC
707343,GC
707344,GC
707345,GC
707346,GC
707347,GC
707348,GC
707349,GC:Winter Ops Max Flood Flow DOR
707350,GC:Max Bankfull Flow - at Goshen
