timeInRun,elev_m,inflow_cms,outlfow_cms
706765,307.54,73.77,48.79
706766,307.7,60.18,34.48
706767,307.85,51.4,25.7
706768,307.85,48,48
706769,307.85,49.13,49.13
706770,307.85,49.13,49.13
706771,307.85,44.6,44.6
706772,307.85,41.21,41.21
706773,307.85,48,48
706774,307.85,53.95,53.95
706775,307.85,59.04,59.04
706776,307.85,46.87,46.87
706777,307.85,40.07,40.07
706778,307.85,38.94,38.94
706779,307.85,85.95,85.95
706780,307.85,89.06,89.06
706781,307.85,68.11,68.11
706782,307.85,56.21,56.21
706783,307.85,48,48
706784,307.85,42.34,42.34
706785,307.85,38.09,38.09
706786,307.85,34.98,34.98
706787,307.85,31.01,31.01
706788,307.85,27.61,27.61
706789,307.85,26.76,26.76
706790,307.85,23.59,23.59
706791,307.85,21.47,21.47
706792,307.85,21.48,21.48
706793,307.85,20.01,20.01
706794,307.85,18.59,18.59
706795,307.85,17.89,18.34
706796,307.85,18.59,18.14
706797,307.85,23.07,23.07
706798,307.85,31.34,31.34
706799,307.85,27.94,27.94
706800,307.85,24.6,24.6
706801,307.85,21.48,21.48
706802,307.85,19.3,19.3
706803,307.85,17.89,17.89
706804,307.85,17.89,17.89
706805,307.85,23.07,23.07
706806,307.85,27.09,27.09
706807,307.85,34.46,34.46
706808,307.85,27.95,27.95
706809,307.85,23.85,23.85
706810,307.85,20.74,20.74
706811,307.85,18.61,18.61
706812,307.84,17.25,18.87
706813,307.81,15.36,19.86
706814,307.78,14.79,20.8
706815,307.73,13.77,21.74
706816,307.67,13.09,22.38
706817,307.61,12.39,23.01
706818,307.55,12.31,23.15
706819,307.47,11.32,23.74
706820,307.44,10.79,16.5
706821,307.39,9.81,16.99
706822,307.34,9.38,17.32
706823,307.29,9.3,17.31
706824,307.24,9.3,17.54
706825,307.2,9.72,17.15
706826,307.15,8.7,17.8
706827,307.09,8.19,18.16
706828,307.03,7.94,18.31
706829,306.97,8.28,17.67
706830,306.92,8.53,17.6
706831,306.87,9.47,16.98
706832,306.81,8.45,17.95
706833,306.75,7.72,18.48
706834,306.68,7.25,18.81
706835,306.6,6.89,18.97
706836,306.53,6.58,19.17
706837,306.45,6.27,19.38
706838,306.36,5.98,19.48
706839,306.28,5.73,19.65
706840,306.19,5.59,19.71
706841,306.1,5.39,19.78
706842,306.01,5.13,19.92
706843,305.92,5.02,20.02
706844,305.83,4.82,20.12
706845,305.73,4.63,20.15
706846,305.64,4.47,20.26
706847,305.54,4.36,20.35
706848,305.44,4.25,20.39
706849,305.34,4.14,20.46
706850,305.24,3.97,20.56
706851,305.13,3.86,20.59
706852,305.03,4.03,20.69
706853,304.92,3.91,20.8
706854,304.81,3.8,20.86
706855,304.71,3.71,20.86
706856,304.6,3.6,20.96
706857,304.49,3.53,21.03
706858,304.38,3.4,21.13
706859,304.26,3.28,21.13
706860,304.15,3.2,21.16
706861,304.04,3.11,21.16
706862,303.92,3.06,21.2
706863,303.81,2.92,21.2
706864,303.69,2.91,21.3
706865,303.57,2.85,21.3
706866,303.45,2.76,21.37
706867,303.33,2.74,21.4
706868,303.21,2.65,21.5
706869,303.09,2.59,21.54
706870,302.97,2.57,21.57
706871,302.85,2.56,21.6
706872,302.72,2.47,21.67
706873,302.6,2.39,21.71
706874,302.47,2.39,21.74
706875,302.35,2.39,21.74
706876,302.22,2.36,21.77
706877,302.09,2.3,21.77
706878,301.96,2.25,21.84
706879,301.83,2.16,21.88
706880,301.7,2.12,21.88
706881,301.57,2.12,22.85
706882,301.31,2.07,41.28
706883,301.06,2.96,40.58
706884,300.83,4.91,39.16
706885,300.59,4.12,39.69
706886,300.35,3.24,40.46
706887,300.09,2.96,40.72
706888,299.84,2.85,40.86
706889,299.58,2.76,40.92
706890,299.31,2.65,41.02
706891,299.05,2.56,41.06
706892,298.79,2.51,41.06
706893,298.52,2.48,41.06
706894,298.25,2.59,40.97
706895,298,4.09,40.01
706896,297.81,9.82,37.43
706897,297.59,7.33,38.32
706898,297.34,4.58,39.59
706899,297.08,3.7,40.16
706900,296.82,3.31,40.52
706901,296.55,3.08,40.69
706902,296.28,2.88,40.75
706903,296.01,2.82,40.82
706904,295.73,2.71,40.92
706905,295.46,2.6,40.96
706906,295.18,2.52,40.99
706907,294.89,2.49,41.06
706908,294.6,2.35,41.09
706909,294.31,2.29,41.16
706910,294.02,2.26,41.16
706911,293.72,2.27,41.19
706912,293.43,2.21,41.19
706913,293.13,2.77,41.19
706914,292.84,2.77,41.26
706915,292.55,2.74,41.26
706916,292.24,2.86,41.22
706917,291.94,2.94,41.19
706918,291.64,2.84,41.19
706919,291.33,2.75,41.19
706920,291.02,2.67,41.26
706921,290.71,2.64,41.29
706922,290.4,2.63,41.29
706923,290.08,2.53,41.29
706924,289.76,2.53,41.29
706925,289.44,2.51,41.1
706926,289.12,2.56,41
706927,288.88,2.56,29.79
706928,288.65,2.51,29.93
706929,288.41,2.39,30
706930,288.18,2.37,30.03
706931,287.94,2.37,30.07
706932,287.7,2.35,30.07
706933,287.46,2.33,30.07
706934,287.21,2.33,30.07
706935,286.96,2.33,30.07
706936,286.72,2.33,30.07
706937,286.47,2.3,30.07
706938,286.22,2.3,30.1
706939,285.96,2.27,30.14
706940,285.71,2.27,30.13
706941,285.46,2.3,30.14
706942,285.2,2.19,30.17
706943,284.94,2.24,30.13
706944,284.69,2.99,30.13
706945,284.43,2.99,30.1
706946,284.17,2.96,30.1
706947,283.91,3.07,30.03
706948,283.65,3.16,29.96
706949,283.39,3.07,30
706950,283.24,2.93,18.7
706951,283.11,2.9,15.94
706952,282.85,2.87,30.42
706953,282.58,2.82,30.2
706954,282.3,2.79,30.2
706955,282.03,2.86,30.24
706956,281.76,2.86,30.27
706957,281.48,2.86,30.27
706958,281.2,2.83,30.27
706959,281.03,2.86,18.86
706960,281.03,3.23,3.23
706961,281.06,3.2,0
706962,281.03,2.99,6.19
706963,281.06,2.87,0
706964,281.03,2.79,5.66
706965,281.05,2.7,0
706966,281.03,2.76,5.46
706967,281.06,2.77,0
706968,281.03,2.75,5.52
706969,281.05,2.75,0
706970,281.03,2.75,5.5
706971,281.05,2.75,0
706972,281.03,2.72,5.47
706973,281.05,2.75,0
706974,281.03,2.81,5.56
706975,281.06,2.78,0
706976,281.03,2.73,5.51
706977,281.06,3.01,0
706978,281.03,9.52,12.53
706979,281.28,23.74,0
706980,281.69,52.34,12.18
706981,281.93,37.9,14.55
706982,282.26,44.41,10.52
706983,282.23,20.06,22.54
706984,282.11,13.35,25.54
706985,281.96,10.51,26.68
706986,281.77,9.13,27.28
706987,281.59,9.84,27.68
706988,281.4,8.76,28.01
706989,281.19,8.59,27.9
706990,281.19,22.32,22.49
706991,281.5,45.54,16.1
706992,281.6,31.1,20.92
706993,281.57,20.77,24.17
706994,281.68,30.25,18.89
706995,282.35,70.46,3.37
706996,282.41,137.57,131.67
706997,282.11,83.77,113.61
706998,281.9,54.89,77.02
706999,281.68,41.01,62.34
707000,281.46,33.93,55.26
707001,281.25,28.55,49.48
707002,281.03,23.74,44.05
707003,281.03,21.47,21.47
707004,281.03,18.7,18.98
707005,281.03,16.13,15.85
707006,281.03,14.77,15.06
707007,281.03,13.72,13.44
707008,281.03,15.11,15.4
707009,281.03,15.45,15.17
707010,281.03,11.6,11.89
707011,281.03,10.33,10.04
707012,281.03,11.2,11.48
707013,281.03,12.97,12.97
707014,281.03,13.82,13.54
707015,281.03,12.69,12.98
707016,281.03,13.26,12.97
707017,281.03,12.41,12.69
707018,281.03,12.69,12.69
707019,281.03,22.05,21.76
707020,281.03,25.18,25.18
707021,281.03,19.53,19.53
707022,281.03,23.81,24.1
707023,281.03,19.58,19.58
707024,281.03,13.92,13.64
707025,281.03,12.51,12.8
707026,281.03,13.4,13.12
707027,281.03,12.55,12.84
707028,281.03,12.89,12.89
707029,281.03,12.6,12.32
707030,281.03,17.13,17.42
707031,281.03,19.68,19.4
