timeInRun,active rule
706797,GC
706798,GC
706799,GC
706800,GC
706801,GC
706802,GC
706803,GC
706804,GC
706805,GC
706806,GC
706807,GC
706808,GC
706809,GC
706810,GC
706811,GC
706812,GC
706813,GC
706814,GC
706815,GC
706816,GC
706817,Min Flow DET plus irrigation most years
706818,Min Flow DET plus irrigation most years
706819,Min Flow DET plus irrigation most years
706820,Min Flow DET plus irrigation most years
706821,Min Flow DET plus irrigation most years
706822,Min Flow DET plus irrigation most years
706823,Min Flow DET plus irrigation most years
706824,Min Flow DET plus irrigation most years
706825,Min Flow DET plus irrigation most years
706826,Min Flow DET plus irrigation most years
706827,Min Flow DET plus irrigation most years
706828,Min Flow DET plus irrigation most years
706829,Min Flow DET plus irrigation most years
706830,Min Flow DET plus irrigation most years
706831,Min Flow DET plus irrigation most years
706832,Min Flow DET plus irrigation most years
706833,Min Flow DET plus irrigation most years
706834,Min Flow DET plus irrigation most years
706835,Min Flow DET plus irrigation most years
706836,Min Flow DET plus irrigation most years
706837,Min Flow DET plus irrigation most years
706838,Min Flow DET plus irrigation most years
706839,Min Flow DET plus irrigation most years
706840,Min Flow DET plus irrigation most years
706841,Min Flow DET plus irrigation most years
706842,Min Flow DET plus irrigation most years
706843,Min Flow DET plus irrigation most years
706844,Min Flow DET plus irrigation most years
706845,Min Flow DET plus irrigation most years
706846,Min Flow DET plus irrigation most years
706847,Min Flow DET plus irrigation most years
706848,Min Flow DET plus irrigation most years
706849,Min Flow DET plus irrigation most years
706850,Min Flow DET plus irrigation most years
706851,Min Flow DET plus irrigation most years
706852,Min Flow DET plus irrigation most years
706853,Min Flow DET plus irrigation most years
706854,Min Flow DET plus irrigation most years
706855,Min Flow DET plus irrigation most years
706856,Min Flow DET plus irrigation most years
706857,Min Flow DET plus irrigation most years
706858,Min Flow DET plus irrigation most years
706859,Min Flow DET plus irrigation most years
706860,Min Flow DET plus irrigation most years
706861,Min Flow DET plus irrigation most years
706862,Min Flow DET plus irrigation most years
706863,Min Flow DET plus irrigation most years
706864,Min Flow DET plus irrigation most years
706865,Min Flow DET plus irrigation most years
706866,Min Flow DET plus irrigation most years
706867,Min Flow DET plus irrigation most years
706868,Min Flow DET plus irrigation most years
706869,Min Flow DET plus irrigation most years
706870,Min Flow DET plus irrigation most years
706871,Min Flow DET plus irrigation most years
706872,Min Flow DET plus irrigation most years
706873,Min Flow DET plus irrigation most years
706874,Min Flow DET plus irrigation most years
706875,Min Flow DET plus irrigation most years
706876,Min Flow DET plus irrigation most years
706877,Min Flow DET plus irrigation most years
706878,Min Flow DET plus irrigation most years
706879,Min Flow DET plus irrigation most years
706880,Min Flow DET plus irrigation most years
706881,Min Flow DET plus irrigation most years
706882,Min Flow DET plus irrigation most years
706883,Min Flow DET plus irrigation most years
706884,Min Flow DET plus irrigation most years
706885,Min Flow DET plus irrigation most years
706886,Min Flow DET plus irrigation most years
706887,Min Flow DET plus irrigation most years
706888,Min Flow DET plus irrigation most years
706889,Min Flow DET plus irrigation most years
706890,Min Flow DET plus irrigation most years
706891,Min Flow DET plus irrigation most years
706892,Min Flow DET plus irrigation most years
706893,Min Flow DET plus irrigation most years
706894,Min Flow DET plus irrigation most years
706895,Min Flow DET plus irrigation most years
706896,Min Flow DET plus irrigation most years
706897,Min Flow DET plus irrigation most years
706898,Min Flow DET plus irrigation most years
706899,Min Flow DET plus irrigation most years
706900,Min Flow DET plus irrigation most years
706901,Min Flow DET plus irrigation most years
706902,Min Flow DET plus irrigation most years
706903,Min Flow DET plus irrigation most years
706904,Min Flow DET plus irrigation most years
706905,Min Flow DET plus irrigation most years
706906,Min Flow DET plus irrigation most years
706907,Min Flow DET plus irrigation most years
706908,Min Flow DET plus irrigation most years
706909,Min Flow DET plus irrigation most years
706910,Min Flow DET plus irrigation most years
706911,Min Flow DET plus irrigation most years
706912,Min Flow DET plus irrigation most years
706913,Min Flow DET plus irrigation most years
706914,Min Flow DET plus irrigation most years
706915,Min Flow DET plus irrigation most years
706916,Min Flow DET plus irrigation most years
706917,Min Flow DET plus irrigation most years
706918,Min Flow DET plus irrigation most years
706919,Min Flow DET plus irrigation most years
706920,Min Flow DET plus irrigation most years
706921,Min Flow DET plus irrigation most years
706922,Min Flow DET plus irrigation most years
706923,Min Flow DET plus irrigation most years
706924,Min Flow DET plus irrigation most years
706925,Min Flow DET plus irrigation most years
706926,Min Flow DET plus irrigation most years
706927,Min Flow DET plus irrigation most years
706928,Min Flow DET plus irrigation most years
706929,Min Flow DET plus irrigation most years
706930,Min Flow DET plus irrigation most years
706931,Min Flow DET plus irrigation most years
706932,Min Flow DET plus irrigation most years
706933,Min Flow DET plus irrigation most years
706934,GC
706935,GC
706936,GC
706937,GC
706938,GC
706939,GC
706940,GC
706941,GC
706942,GC
706943,GC
706944,GC
706945,GC
706946,GC
706947,GC
706948,GC
706949,GC
706950,GC
706951,GC
706952,GC
706953,GC
706954,GC
706955,GC
706956,GC
706957,GC
706958,GC
706959,GC
706960,GC
706961,GC
706962,GC
706963,GC
706964,GC
706965,GC
706966,GC
706967,GC
706968,GC
706969,GC
706970,GC
706971,GC
706972,ZB
706973,ZB
706974,ZB
706975,ZB
706976,ZB
706977,ZB
706978,ZB
706979,ZB
706980,GC
706981,GC
706982,GC
706983,ZB
706984,ZB
706985,ZB
706986,ZB
706987,ZB
706988,ZB
706989,ZB
706990,ZB
706991,GC
706992,ZB
706993,ZB
706994,GC
706995,GC
706996,GC
706997,GC
706998,GC
706999,GC
707000,GC
707001,ZB
707002,ZB
707003,ZB
707004,ZB
707005,ZB
707006,ZB
707007,ZB
707008,ZB
707009,ZB
707010,ZB
707011,ZB
707012,ZB
707013,ZB
707014,ZB
707015,ZB
707016,ZB
707017,ZB
707018,ZB
707019,ZB
707020,ZB
707021,ZB
707022,ZB
707023,ZB
707024,ZB
707025,ZB
707026,ZB
707027,ZB
707028,ZB
707029,ZB
707030,ZB
707031,ZB
707032,ZB
707033,ZB
707034,ZB
707035,ZB
707036,ZB
707037,ZB
707038,ZB
707039,Lower Minimum flows from Detroit
707040,Lower Minimum flows from Detroit
707041,Lower Minimum flows from Detroit
