timeInRun,elev_m,inflow_cms,outlfow_cms
706763,239.46,9.51,2.12
706764,239.72,15.31,2.12
706765,239.98,17.09,3.8
706766,240.05,12.47,8.74
706767,240.13,9.67,5.94
706768,240.2,7.66,3.93
706769,240.27,6.48,2.75
706770,240.34,5.49,2.12
706771,240.39,4.94,2.12
706772,240.44,4.54,2.12
706773,240.53,6.83,2.12
706774,240.59,5.21,2.12
706775,240.64,4.54,2.12
706776,240.67,4.11,2.12
706777,240.71,3.95,2.12
706778,240.75,4.03,2.12
706779,240.79,7.07,4.72
706780,240.79,7.78,7.78
706781,240.79,6.83,6.83
706782,240.79,5.81,5.81
706783,240.79,5.02,5.02
706784,240.79,4.46,4.46
706785,240.79,3.95,3.95
706786,240.79,3.71,3.71
706787,240.79,3.71,3.71
706788,240.79,3.6,3.6
706789,240.79,3.24,3.24
706790,240.79,3.01,3.01
706791,240.79,2.82,2.82
706792,240.79,2.82,2.82
706793,240.79,2.67,2.67
706794,240.79,2.51,2.51
706795,240.79,2.75,2.75
706796,240.79,3.85,3.85
706797,240.79,4.72,4.72
706798,240.79,5.51,5.51
706799,240.79,4.72,4.72
706800,240.79,3.93,3.93
706801,240.79,3.49,3.49
706802,240.79,3.14,3.14
706803,240.79,3.02,3.02
706804,240.79,3.02,3.02
706805,240.79,3.22,3.22
706806,240.79,3.22,3.22
706807,240.79,4.28,4.28
706808,240.79,3.53,3.53
706809,240.79,3.14,3.14
706810,240.79,2.9,2.9
706811,240.79,2.67,2.67
706812,240.79,2.51,2.51
706813,240.79,2.35,2.35
706814,240.79,2.23,2.23
706815,240.79,2.15,2.15
706816,240.79,2.11,2.12
706817,240.79,2,2.12
706818,240.78,1.84,2.12
706819,240.78,1.76,2.12
706820,240.78,1.76,1.42
706821,240.79,1.59,1.42
706822,240.79,1.55,1.42
706823,240.79,1.59,1.44
706824,240.79,1.59,1.59
706825,240.79,1.51,1.51
706826,240.79,1.39,1.42
706827,240.79,1.35,1.42
706828,240.79,1.35,1.42
706829,240.79,1.43,1.42
706830,240.79,1.43,1.42
706831,240.79,1.63,1.51
706832,240.79,1.39,1.42
706833,240.79,1.28,1.42
706834,240.78,1.2,1.42
706835,240.78,1.16,1.42
706836,240.77,1.12,1.47
706837,240.77,1.08,1.42
706838,240.76,1.04,1.45
706839,240.75,1,1.46
706840,240.74,0.97,1.51
706841,240.73,0.93,1.47
706842,240.72,0.89,1.55
706843,240.7,0.85,1.56
706844,240.69,0.85,1.62
706845,240.67,0.81,1.55
706846,240.66,0.77,1.61
706847,240.64,0.77,1.75
706848,240.62,0.73,1.86
706849,240.59,0.73,2.18
706850,240.56,0.73,2.22
706851,240.53,0.69,2.1
706852,240.5,0.71,2.07
706853,240.48,0.71,2.18
706854,240.45,0.67,2.28
706855,240.41,0.67,2.28
706856,240.38,0.67,2.24
706857,240.35,0.63,2.25
706858,240.32,0.6,2.33
706859,240.28,0.56,2.38
706860,240.25,0.56,2.36
706861,240.21,0.56,2.28
706862,240.18,0.56,2.27
706863,240.15,0.56,2.27
706864,240.12,0.56,2.24
706865,240.08,0.52,2.25
706866,240.05,0.48,2.27
706867,240.01,0.48,2.3
706868,239.98,0.49,2.33
706869,239.94,0.49,2.34
706870,239.91,0.49,2.3
706871,239.87,0.45,2.25
706872,239.84,0.45,2.24
706873,239.8,0.41,2.29
706874,239.76,0.42,2.32
706875,239.73,0.38,2.3
706876,239.69,0.38,2.29
706877,239.65,0.38,2.31
706878,239.61,0.38,2.33
706879,239.58,0.39,2.33
706880,239.53,0.39,2.37
706881,239.48,0.43,2.83
706882,239.43,0.39,2.81
706883,239.39,0.92,2.68
706884,239.36,1.16,2.66
706885,239.33,0.81,2.33
706886,239.29,0.69,2.48
706887,239.24,0.61,2.83
706888,239.2,0.62,2.77
706889,239.15,0.58,2.83
706890,239.1,0.5,2.83
706891,239.05,0.5,2.83
706892,239,0.46,2.81
706893,238.96,0.51,2.46
706894,238.92,0.63,2.77
706895,238.89,1.18,2.46
706896,238.78,1.22,6.74
706897,238.64,0.87,8.29
706898,238.49,0.71,6.95
706899,238.34,0.64,6.94
706900,238.19,0.56,7.49
706901,238.04,0.52,7.44
706902,237.9,0.52,6.76
706903,237.74,0.52,7.3
706904,237.58,0.48,7.98
706905,237.42,0.49,7.87
706906,237.26,0.49,7.23
706907,237.1,0.49,7.06
706908,236.94,0.49,6.49
706909,236.78,0.46,6.7
706910,236.62,0.42,7.16
706911,236.44,0.42,7.54
706912,236.26,0.46,7.15
706913,236.08,0.58,7.27
706914,235.9,0.54,7.23
706915,235.72,0.54,7.23
706916,235.55,0.58,7.27
706917,235.37,0.54,7.23
706918,235.16,0.54,7.57
706919,234.96,0.5,7.24
706920,234.75,0.5,7.24
706921,234.54,0.5,7.24
706922,234.34,0.5,7.24
706923,234.13,0.46,7.2
706924,233.93,0.5,7.24
706925,233.72,0.5,6.96
706926,233.48,0.5,7.35
706927,233.23,0.5,7.66
706928,232.99,0.5,7.43
706929,232.75,0.5,7.25
706930,232.5,0.5,7.09
706931,232.26,0.46,6.89
706932,232.01,0.46,6.69
706933,231.77,0.5,6.59
706934,231.43,0.5,8.67
706935,231.09,0.5,8.25
706936,230.75,0.5,7.82
706937,230.41,0.46,7.34
706938,230.07,0.46,6.9
706939,229.74,0.46,6.52
706940,229.4,0.46,6.15
706941,229.06,0.42,5.74
706942,228.99,0.42,1.42
706943,228.93,0.46,1.42
706944,228.87,0.55,1.42
706945,228.81,0.55,1.42
706946,228.75,0.55,1.42
706947,228.69,0.66,1.46
706948,228.63,0.78,1.65
706949,228.6,0.62,1.06
706950,228.6,0.55,0.55
706951,228.6,0.55,0.55
706952,228.6,0.55,0.55
706953,228.6,0.51,0.51
706954,228.6,0.51,0.51
706955,228.6,0.47,0.47
706956,228.6,0.47,0.47
706957,228.6,0.51,0.51
706958,228.6,0.51,0.51
706959,228.6,0.51,0.51
706960,228.6,0.59,0.59
706961,228.6,0.55,0.55
706962,228.6,0.55,0.55
706963,228.6,0.55,0.55
706964,228.6,0.55,0.55
706965,228.6,0.55,0.55
706966,228.6,0.51,0.51
706967,228.6,0.51,0.51
706968,228.6,0.51,0.51
706969,228.6,0.51,0.51
706970,228.6,0.47,0.47
706971,228.6,0.47,0.47
706972,228.6,0.47,0.47
706973,228.6,0.47,0.47
706974,228.6,0.52,0.52
706975,228.6,0.56,0.56
706976,228.6,0.56,0.56
706977,228.6,0.67,0.67
706978,228.6,0.87,0.87
706979,228.63,2.06,1.62
706980,228.63,3.63,3.63
706981,228.63,4.42,4.42
706982,228.63,3.63,3.63
706983,228.63,2.45,2.45
706984,228.63,1.66,1.66
706985,228.62,1.27,1.42
706986,228.6,1.11,1.39
706987,228.6,1.07,1.07
706988,228.6,1.03,1.03
706989,228.6,1.11,1.11
706990,228.6,1.15,1.15
706991,228.6,1.27,1.27
706992,228.6,1.07,1.07
706993,228.6,0.95,0.95
706994,228.6,1.07,1.07
706995,228.63,4.03,3.59
706996,228.63,13.89,13.89
706997,228.63,9.95,9.95
706998,228.62,4.82,4.97
706999,228.63,3.63,3.48
707000,228.63,5.6,5.6
707001,228.63,3.63,3.63
707002,228.63,2.45,2.45
707003,228.63,2.06,2.06
707004,228.63,1.86,1.86
707005,228.63,1.69,1.69
707006,228.63,1.65,1.65
707007,228.63,1.54,1.54
707008,228.63,2.06,2.06
707009,228.63,2.25,2.25
707010,228.63,1.66,1.66
707011,228.63,1.51,1.51
707012,228.63,1.51,1.51
707013,228.63,1.67,1.67
707014,228.63,1.59,1.59
707015,228.63,1.36,1.42
707016,228.62,1.33,1.42
707017,228.63,1.49,1.42
707018,228.63,1.81,1.73
707019,228.63,6.82,6.82
707020,228.63,6,6
707021,228.63,4.14,4.14
707022,228.63,6.91,6.91
707023,228.63,5.14,5.14
707024,228.63,3.52,3.52
707025,228.63,2.82,2.82
707026,228.63,2.66,2.66
707027,228.63,2.55,2.55
707028,228.63,3.22,3.22
707029,228.63,3.03,3.03
707030,228.63,4.96,4.96
707031,228.63,6.82,6.82
707032,228.74,4.97,3.41
707033,228.89,3.86,1.7
707034,229.01,3.27,1.42
707035,229.19,4.62,1.92
707036,229.33,21.05,18.81
707037,229.47,16,13.74
707038,229.61,17.27,14.91
707039,229.75,30.68,28.28
707040,229.89,20.54,18.07
707041,230.03,12.34,9.8
707042,230.22,8.83,5.42
707043,230.4,7.26,3.75
707044,230.58,6.35,2.68
707045,230.76,6,2.26
707046,230.95,11.25,7.33
707047,231.13,25.84,21.82
707048,231.31,21.07,16.94
707049,231.47,20.56,16.87
707050,231.63,14.92,11.2
707051,231.78,20.88,17.02
707052,231.94,29.91,26.03
707053,232.1,23.21,19.21
707054,232.25,20.02,16.01
707055,232.41,15.09,10.96
707056,232.54,13.35,9.79
707057,232.68,14.46,10.8
707058,232.81,15.57,11.89
707059,232.95,17.46,13.71
707060,233.08,20.38,16.59
707061,233.22,19.04,15.18
707062,233.35,17.31,13.34
707063,233.48,16.68,12.97
707064,233.61,24.09,20.54
707065,233.73,33.71,30.16
707066,233.86,24.96,21.04
707067,233.99,25.82,21.68
707068,234.11,27.72,23.58
707069,234.24,25.83,21.68
707070,234.36,21.05,17.18
707071,234.48,22.28,18.41
707072,234.59,28.71,24.83
707073,234.71,24.96,21.09
707074,234.83,22.28,18.41
707075,234.95,21.25,17.38
707076,235.07,21.41,17.54
707077,235.18,20.86,16.99
707078,235.29,19.01,15.63
707079,235.39,16.64,12.88
707080,235.49,15.7,11.84
707081,235.6,14.28,10.42
707082,235.7,13.65,9.79
707083,235.8,14.28,10.43
707084,235.9,13.5,9.65
707085,236.01,12.35,8.5
707086,236.11,12.66,8.95
707087,236.2,12.9,9.19
707088,236.3,11.4,7.69
707089,236.4,10.26,6.55
707090,236.5,10.57,6.86
707091,236.6,9.71,5.64
707092,236.7,9.12,4.94
707093,236.8,9.55,5.38
707094,236.89,10.42,6.85
707095,236.98,22.2,18.77
707096,237.07,20.07,16.64
707097,237.16,17.19,13.62
707098,237.26,20.78,16.92
707099,237.35,23.1,19.25
707100,237.44,20.26,16.41
707101,237.53,16.87,12.77
707102,237.61,15.3,11.19
707103,237.7,16.09,11.98
707104,237.79,17.35,13.46
707105,237.88,16.87,13.18
707106,237.96,15.3,11.6
707107,238.05,69.06,65.35
707108,238.46,99.43,80.71
707109,239.51,99.43,49.82
707110,238.84,49.73,81.69
707111,238.39,31.59,52.4
707112,238.47,23.11,19.62
707113,238.55,18.3,14.81
707114,238.64,15.3,11.81
707115,238.72,14.35,10.29
707116,238.8,12.58,8.45
707117,238.88,10.92,6.8
707118,238.96,9.89,5.77
707119,239.04,9.46,5.69
707120,239.12,9.14,5.4
707121,239.2,8.51,4.77
707122,239.28,7.88,4.13
707123,239.36,7.29,3.54
707124,239.44,6.82,3.15
707125,239.52,6.71,3.04
707126,239.59,7.07,3.29
707127,239.67,7.54,3.5
707128,239.75,7.42,3.39
707129,239.83,6.83,2.79
707130,239.91,6.59,2.56
707131,239.98,6.59,2.86
707132,240.05,6.36,2.63
707133,240.13,6.36,2.63
707134,240.2,7.42,3.69
707135,240.27,13.46,9.73
707136,240.34,11.48,7.75
707137,240.41,9.79,6.06
707138,240.49,8.41,4.68
707139,240.56,7.3,3.38
707140,240.64,6.71,2.79
707141,240.72,6.59,2.67
707142,240.79,7.54,3.61
707143,240.79,7.78,7.78
707144,240.79,6.83,6.83
707145,240.79,6.24,6.24
707146,240.79,6.04,6.04
707147,240.79,5.45,5.45
707148,240.79,5.85,5.85
707149,240.79,5.85,5.85
707150,240.79,5.06,5.06
707151,240.79,4.46,4.46
707152,240.79,4.27,4.27
707153,240.79,3.48,3.48
707154,240.79,2.89,2.89
707155,240.79,2.69,2.69
707156,240.79,2.9,2.9
707157,240.79,3.49,3.49
707158,240.79,3.77,3.77
707159,240.79,3.38,3.38
707160,240.79,2.98,2.98
707161,240.79,2.82,2.82
707162,240.79,2.74,2.74
707163,240.79,2.98,2.98
707164,240.79,6.49,6.49
707165,240.79,8.7,8.7
707166,240.79,8.94,8.94
707167,240.79,8.7,8.7
707168,240.79,7.08,7.08
707169,240.79,6.73,6.73
707170,240.79,7.56,7.56
707171,240.79,11.38,11.38
707172,240.79,14.93,14.93
707173,240.79,13.36,13.36
707174,240.79,14.3,14.3
707175,240.79,27.44,27.44
707176,240.79,28.42,28.42
707177,240.79,19.35,19.35
707178,240.79,15.41,15.41
707179,240.79,12.05,12.05
707180,240.79,9.8,9.8
707181,240.79,8.19,8.19
707182,240.79,6.96,6.96
707183,240.79,6.33,6.33
707184,240.79,5.74,5.74
707185,240.79,5.35,5.35
707186,240.79,4.82,4.82
707187,240.79,4.42,4.42
707188,240.79,4.03,4.03
707189,240.79,3.63,3.63
707190,240.79,3.32,3.32
707191,240.79,3.04,3.04
707192,240.79,2.92,2.92
707193,240.79,2.77,2.77
707194,240.79,2.65,2.65
707195,240.79,2.53,2.53
707196,240.79,2.45,2.45
707197,240.79,2.33,2.33
707198,240.79,2.22,2.22
707199,240.79,2.14,2.14
707200,240.79,2.1,2.1
707201,240.79,1.98,1.98
707202,240.79,1.9,1.9
707203,240.79,1.82,1.82
707204,240.79,1.74,1.74
707205,240.79,1.67,1.67
707206,240.79,1.63,1.63
707207,240.79,1.55,1.55
707208,240.79,1.51,1.51
707209,240.79,1.47,1.47
707210,240.79,1.39,1.42
707211,240.79,1.36,1.46
707212,240.79,1.32,1.55
707213,240.78,1.32,1.42
707214,240.78,1.28,1.5
707215,240.77,1.24,1.91
707216,240.75,1.2,2.05
707217,240.74,1.22,1.93
707218,240.72,1.22,2.08
707219,240.7,1.18,2.17
707220,240.68,1.18,2.16
707221,240.66,1.18,2.13
707222,240.64,1.18,2.2
707223,240.62,1.18,2.3
707224,240.6,1.18,2.23
707225,240.58,1.18,2.17
707226,240.56,1.11,2.22
707227,240.53,1.03,2.28
707228,240.51,0.95,2.33
707229,240.48,0.91,2.24
707230,240.46,0.87,2.17
707231,240.43,0.79,2.33
707232,240.4,0.79,2.33
707233,240.37,0.79,2.28
707234,240.34,0.76,2.26
707235,240.31,0.72,2.26
707236,240.28,0.72,2.32
707237,240.25,0.68,2.35
707238,240.23,0.96,1.97
707239,240.21,1.52,2.21
707240,240.18,1.01,2.54
707241,240.15,0.85,2.51
707242,240.12,0.81,2.49
707243,240.09,0.74,2.4
707244,240.06,0.7,2.24
707245,240.03,0.66,2.16
707246,240,0.78,2.38
707247,239.97,1.42,2.71
707248,239.94,1.08,2.83
707249,239.9,0.92,2.83
707250,239.86,0.85,2.83
707251,239.82,0.85,2.83
707252,239.78,0.81,2.83
707253,239.74,0.77,2.83
707254,239.7,0.73,2.83
707255,239.66,0.74,2.83
707256,239.62,0.77,3.02
707257,239.48,0.74,7.38
707258,239.34,0.74,7.17
707259,239.21,0.74,7.17
707260,239.07,0.71,7.13
707261,238.93,0.71,7.27
707262,238.78,0.63,8.26
707263,238.64,0.63,8.06
707264,238.49,0.63,6.88
707265,238.34,0.72,7.02
707266,238.19,1.94,8.87
707267,238.04,1.51,8.42
707268,237.9,1.07,7.32
707269,237.74,0.88,7.66
707270,237.58,0.8,8.29
707271,237.42,0.72,8.11
707272,237.26,0.73,7.47
707273,237.1,0.73,7.29
707274,236.94,0.73,6.73
707275,236.78,0.73,6.98
707276,236.62,0.7,7.44
707277,236.44,0.78,7.9
707278,236.26,4.96,11.65
707279,236.08,2,8.69
707280,235.9,1.45,8.14
707281,235.72,2.2,8.89
707282,235.55,1.64,8.33
707283,235.37,1.29,7.98
707284,235.16,1.09,8.12
707285,234.96,1.01,7.76
707286,234.75,0.97,7.72
707287,234.54,0.93,7.68
707288,234.34,0.85,7.6
707289,234.13,0.85,7.6
707290,233.93,0.81,7.56
707291,233.72,1.13,7.59
707292,233.48,1.25,8.1
707293,233.23,1.17,8.33
707294,232.99,12.14,19.07
707295,232.75,6.97,13.72
707296,232.5,3.57,10.17
707297,232.26,2.63,9.06
707298,232.01,2.15,8.39
707299,231.77,1.84,7.93
707300,231.43,1.6,9.78
707301,231.09,1.48,9.24
707302,230.75,1.4,8.73
707303,230.41,1.33,8.21
707304,230.07,1.25,7.69
707305,229.74,1.29,7.35
707306,229.4,2.15,7.84
707307,229.06,4.4,9.72
707308,229,4.09,5.01
707309,228.94,2.91,3.84
707310,228.87,2.32,3.22
707311,228.81,2.01,2.88
707312,228.75,1.81,2.68
707313,228.69,2.01,2.88
707314,228.63,2.01,2.88
707315,228.63,1.77,1.77
707316,228.63,2.12,2.12
707317,228.63,8.04,8.04
707318,228.63,27.69,27.69
707319,229.4,40.31,28.74
707320,228.76,29.66,39.43
707321,228.63,19.8,21.6
707322,228.63,27.69,27.69
707323,228.63,27.69,27.69
707324,228.63,18.82,18.82
707325,228.63,17.39,17.39
707326,228.63,15.65,15.65
707327,228.63,27.69,27.69
707328,229.04,34.78,28.74
707329,228.63,23.15,29.19
707330,228.63,23.15,23.15
707331,228.63,28.67,28.67
707332,228.63,25.79,25.79
707333,228.63,24.06,24.06
707334,228.63,25.79,25.79
707335,228.63,18.65,18.65
707336,228.63,13.92,13.92
707337,228.63,11.04,11.04
707338,228.63,9.23,9.23
707339,228.63,7.77,7.77
707340,228.63,6.8,6.8
707341,228.63,6,6
707342,228.63,5.37,5.37
707343,228.63,5.02,5.02
707344,228.63,4.54,4.54
707345,228.63,4.38,4.38
707346,228.63,4.15,4.15
707347,228.63,4.15,4.15
707348,228.63,7.18,7.18
707349,229.14,36.18,28.74
707350,228.79,30.65,35.79
707351,228.63,17.56,19.85
707352,228.63,14.09,14.09
707353,228.63,11.88,11.88
707354,228.63,10.89,10.89
707355,228.63,13.93,13.93
707356,228.63,13.93,13.93
707357,228.63,11.44,11.44
707358,228.63,9.63,9.63
707359,228.63,8.29,8.29
707360,228.63,7.66,7.66
707361,228.63,6.91,6.91
707362,228.63,8.56,8.56
707363,228.63,7.93,7.93
707364,228.63,13.73,13.73
707365,229.26,38.03,28.74
707366,228.63,25.83,35.12
707367,228.63,21.23,21.23
707368,228.97,33.69,28.74
707369,228.63,24.06,29.01
707370,228.63,17.87,17.87
707371,228.63,14.24,14.24
707372,228.63,11.44,11.44
707373,228.63,9.79,9.79
707374,228.63,8.68,8.68
707375,228.63,7.94,7.94
707376,228.63,7.19,7.19
707377,228.63,6.56,6.56
707378,228.63,6.13,6.13
707379,228.63,5.82,5.82
707380,228.63,5.5,5.5
707381,228.63,5.63,5.63
707382,228.63,5.36,5.36
707383,228.63,6.49,6.49
707384,228.63,11.2,11.2
707385,228.63,11.2,11.2
707386,228.63,18.7,18.7
707387,228.7,29.71,28.74
707388,228.63,23.01,23.98
707389,228.63,16.66,16.66
707390,228.63,22.15,22.15
707391,230.08,52.21,28.74
707392,229.12,32.68,48.94
707393,228.63,22.16,29.37
707394,228.63,16.99,16.99
707395,228.63,13.84,13.84
707396,228.63,11.79,11.79
707397,228.77,11.52,9.51
707398,228.91,11.52,9.51
707399,229.05,10.81,8.68
707400,229.19,10.26,8.13
707401,229.33,10.36,8.12
707402,229.47,12.69,10.43
707403,229.61,19.16,16.8
707404,229.75,18.06,15.65
707405,229.89,16.64,14.16
707406,232.31,99.91,46.33
707407,232.82,73.48,59.88
707408,231.61,40.35,71.5
707409,230.58,29.7,52.62
707410,230.76,33.73,29.98
707411,230.95,28.72,24.8
707412,231.13,22.85,18.82
707413,231.31,24.11,19.98
707414,231.47,25.84,22.16
707415,231.63,23.01,19.28
707416,231.78,18.55,14.69
707417,231.94,15.71,11.83
707418,232.1,17.77,13.77
707419,232.25,19.19,15.18
707420,232.41,18.72,14.59
707421,232.54,19.67,16.11
707422,232.68,20.4,16.73
707423,232.81,20.59,16.91
707424,232.95,20.89,17.14
707425,233.08,18.88,15.09
707426,233.22,16.83,12.98
707427,233.35,15.1,11.13
707428,233.48,13.68,9.98
707429,233.61,12.84,9.29
707430,233.73,11.62,8.08
707431,233.86,10.2,6.29
707432,233.99,10.91,6.77
707433,234.11,13.32,9.18
707434,234.24,11.19,7.05
707435,234.36,9.81,5.94
707436,234.48,9.26,5.39
707437,234.59,9.54,5.66
707438,234.71,8.59,4.72
707439,234.83,7.88,4.01
707440,234.95,8.71,4.84
707441,235.07,10.76,6.89
707442,235.18,11.47,7.6
707443,235.29,31.67,28.3
707444,235.39,54.55,50.78
707445,235.49,31.67,27.82
707446,235.83,89.26,76.74
707447,237.62,95.58,23.61
707448,236.82,46.27,79.75
707449,235.9,30.69,66.27
707450,236.01,51.4,47.54
707451,236.11,65.99,62.28
707452,236.2,42.72,39.01
707453,236.3,35.94,32.22
707454,236.4,27.73,24.02
707455,236.5,24.1,20.39
707456,236.6,25.84,21.77
707457,236.7,22.69,18.51
707458,236.8,19.85,15.67
707459,236.89,17.44,13.87
707460,236.98,15.77,12.34
707461,237.07,15.14,11.71
707462,237.16,15.93,12.36
707463,237.26,20.46,16.61
707464,237.35,32.57,28.72
707465,237.44,25.75,21.89
707466,237.53,19.91,15.81
707467,237.61,18.45,14.35
707468,237.7,17.98,13.87
707469,237.79,15.3,11.41
707470,237.88,13.4,9.71
707471,237.96,11.98,8.29
707472,238.05,10.68,6.97
707473,238.14,9.58,5.47
707474,238.22,9.34,5.46
707475,238.31,10.56,6.69
707476,238.39,10.84,7.13
707477,238.47,12.46,8.97
707478,238.55,11.67,8.18
707479,238.64,9.74,6.25
707480,238.72,8.79,4.73
707481,238.8,8.23,4.11
707482,238.88,8,3.88
