timeInRun,elev_m,inflow_cms,outlfow_cms
707716,359.69,8.61,8.61
707717,359.69,7.88,7.88
707718,359.69,7.29,7.29
707719,359.69,6.53,6.53
707720,359.69,5.96,5.96
707721,359.69,5.54,5.54
707722,359.69,5.27,5.27
707723,359.69,4.87,4.87
707724,359.69,4.87,4.87
707725,359.69,4.71,4.71
707726,359.69,4.87,4.87
707727,359.69,4.87,4.87
707728,359.69,5.27,5.27
707729,359.69,5.01,5.01
707730,359.69,5.4,5.4
707731,359.69,11.55,11.55
707732,359.69,23.38,23.38
707733,359.69,21.16,21.16
707734,359.69,15.88,15.88
707735,359.69,14.61,14.61
707736,359.69,18.05,18.05
707737,359.73,28.56,28.32
707738,359.69,25.91,26.16
707739,359.69,26.97,26.97
707740,359.69,20.4,20.4
707741,359.69,15.87,15.87
707742,359.69,14.03,14.03
707743,359.69,12.47,12.47
707744,359.69,11.22,11.22
707745,359.69,10.73,10.73
707746,359.69,10.2,10.2
707747,359.69,9.58,9.58
707748,359.69,9.25,9.25
707749,359.69,10.38,10.38
707750,359.69,9.72,9.72
707751,359.69,9.72,9.72
707752,359.69,14.05,14.05
707753,359.69,18.55,18.55
707754,359.69,14.86,14.86
707755,359.69,12.16,12.16
707756,359.69,10.79,10.79
707757,359.69,9.47,9.47
707758,359.69,8.55,8.55
707759,359.69,8.09,8.09
707760,359.69,7.62,7.62
707761,359.69,9.15,9.15
707762,359.69,10.97,10.97
707763,359.69,11.63,11.63
707764,359.69,10.81,10.81
707765,360.31,9.32,5.4
707766,361.13,8.02,2.7
707767,362.08,7.89,1.42
707768,362.91,7.3,1.42
707769,363.65,6.83,1.42
707770,364.42,7.3,1.42
707771,365.56,10.37,1.42
707772,366.5,9.25,1.42
707773,367.24,7.73,1.42
707774,367.85,6.84,1.42
707775,368.42,6.54,1.42
707776,369.01,6.97,1.42
707777,370.79,19.46,1.42
707778,372.41,18.07,1.42
707779,374.23,22.4,1.42
707780,379.38,68.17,1.42
707781,381.91,39.75,1.42
707782,383.45,25.94,1.42
707783,384.58,21.18,1.42
707784,385.47,18.08,1.42
707785,386.2,15.27,1.42
707786,386.76,13.23,1.42
707787,387.28,11.94,1.42
707788,387.77,11.57,1.42
707789,388.26,11.57,1.42
707790,388.72,11.94,1.42
707791,389.14,11.25,1.42
707792,389.6,10.92,1.42
707793,389.99,10.39,1.42
707794,390.31,9.7,1.42
707795,390.63,9.7,1.42
707796,390.99,9.87,1.42
707797,391.34,9.41,1.42
707798,391.6,8.78,1.42
707799,391.89,8.48,1.42
707800,392.14,8.15,1.42
707801,392.39,7.89,1.42
707802,392.64,7.56,1.42
707803,392.86,7.43,1.42
707804,393.24,11.92,1.42
707805,394.04,22.63,1.42
707806,394.68,19.46,1.42
707807,395.1,14.63,1.42
707808,395.54,13.8,1.42
707809,396.12,18.53,1.42
707810,397.09,31.95,1.42
707811,398.4,42.72,1.42
707812,399.12,49.33,25.49
