timeInRun,elev_m,inflow_cms,outlfow_cms
706763,513.97,39.31,22.91
706764,514.26,46.96,30.56
706765,514.54,49.38,33.39
706766,514.77,42.6,29.58
706767,515.11,39.35,20.39
706768,515.11,37.86,37.86
706769,515.11,41.18,41.18
706770,515.11,44.79,44.79
706771,515.11,45.04,45.04
706772,515.11,45.23,45.23
706773,515.11,45.12,45.12
706774,515.11,42.79,42.79
706775,515.11,40.33,40.33
706776,515.11,36.08,36.08
706777,515.11,33.22,33.22
706778,515.11,35.31,35.31
706779,515.11,40.43,40.43
706780,515.11,42.89,42.89
706781,515.11,37.53,37.53
706782,515.11,34.59,34.59
706783,515.11,32.61,32.61
706784,515.11,33.01,33.01
706785,515.11,33.39,33.39
706786,515.11,34.23,34.23
706787,515.11,30.98,30.98
706788,515.09,28.21,29.64
706789,515.04,26.76,29.63
706790,515.11,25.17,20.86
706791,515.11,23.92,23.92
706792,515.11,24.77,24.77
706793,515.11,23.46,23.46
706794,515.11,22.33,22.33
706795,515.11,21.75,21.75
706796,515.11,24.5,24.5
706797,515.11,29.7,29.7
706798,515.11,33.19,33.19
706799,515.11,30.12,30.12
706800,515.06,26.8,29.64
706801,515.11,25.29,22.46
706802,515.11,23.19,23.19
706803,515.11,22.15,22.15
706804,515.11,21.72,21.72
706805,515.11,24.92,24.92
706806,515.11,26.04,26.04
706807,515.1,28.7,29.64
706808,515.11,26.2,25.26
706809,515.11,24.02,24.02
706810,515.11,22.63,22.63
706811,515.11,20.59,20.59
706812,515.11,19.55,19.55
706813,515.11,18.56,18.56
706814,515.11,18.21,18.21
706815,515.11,17.4,17.4
706816,515.11,17.37,17.37
706817,515.11,16.33,16.33
706818,515.11,15.98,15.98
706819,515.11,15.03,15.03
706820,515.11,14.95,14.95
706821,515.11,13.83,13.83
706822,515.11,13.95,13.95
706823,515.11,13.95,13.95
706824,515.11,13.69,13.69
706825,515.11,12.79,12.79
706826,515.11,13.52,13.52
706827,515.11,12.66,12.66
706828,515.11,12.99,12.99
706829,515.11,13.57,13.57
706830,515.11,13.08,13.08
706831,515.11,13.91,13.91
706832,515.11,13.05,13.05
706833,515.11,12.09,12.09
706834,515.11,11.55,11.55
706835,515.1,11.74,12.42
706836,515.07,11.75,13.28
706837,515.04,11.8,13.68
706838,514.98,11.12,14.59
706839,514.92,11.17,14.61
706840,514.87,11.37,14.2
706841,514.83,11.37,13.1
706842,514.77,10.54,14.17
706843,514.71,10.71,14.07
706844,514.65,10.72,14.37
