timeInRun,elev_m,inflow_cms,outlfow_cms
711119,277,79.93,44.43
711120,277.19,81.78,46.28
711121,277.39,74.07,38.48
711122,277.57,69.05,33.98
711123,277.76,68.94,33.98
711124,277.95,78.71,42.99
711125,278.14,111.35,76.68
711126,278.32,125.2,90.53
711127,278.51,134.91,100.24
711128,278.69,124.56,89.89
711129,278.88,126.59,91.92
711130,278.88,138.2,138.2
711131,278.88,152.22,152.22
711132,278.88,164.52,164.52
711133,278.88,157.45,157.45
711134,278.88,141.99,141.99
711135,278.88,127.82,127.82
711136,278.88,105.55,105.55
711137,278.88,92.99,92.99
711138,278.88,86.79,86.79
711139,278.88,78.99,78.99
711140,278.88,73.22,73.22
711141,278.88,66.64,66.64
711142,278.88,80.57,80.57
711143,278.88,162.18,162.18
711144,278.88,143.7,143.7
711145,278.88,147.48,147.48
711146,278.88,150.41,150.41
711147,278.88,139.84,139.84
711148,278.88,128.48,128.48
711149,278.88,115.96,115.96
711150,278.88,107.01,107.01
711151,278.88,94,94
711152,278.88,114.7,114.7
711153,278.88,115.69,115.69
711154,278.88,114.59,114.59
711155,278.88,116.52,116.52
711156,278.88,122.47,122.47
711157,278.88,130.39,130.39
711158,278.88,134.85,134.85
711159,278.88,133.04,133.04
711160,278.88,128.94,128.94
711161,278.88,133.27,133.27
711162,278.88,137.75,137.75
711163,278.88,148.1,148.1
711164,278.88,162.43,162.43
711165,278.88,205.54,205.54
711166,278.88,203.23,203.23
711167,278.88,179.5,179.5
711168,278.88,161.36,161.36
711169,278.88,143.23,143.23
711170,278.88,154.87,154.87
711171,278.88,159.26,159.26
711172,278.88,164.48,164.48
711173,278.88,198.16,198.16
711174,278.88,166.5,166.5
711175,278.88,154.33,154.33
711176,278.88,155.75,155.75
711177,278.88,182.39,182.39
711178,278.88,176.55,176.55
711179,278.88,178.5,178.5
711180,278.88,180.15,180.15
711181,278.88,182.6,182.6
711182,278.88,162.59,162.59
711183,278.88,150.71,150.71
711184,278.88,136.84,136.84
711185,278.88,123.18,123.18
711186,278.88,111.13,111.13
711187,278.88,101.87,101.87
711188,278.88,99.59,99.59
711189,278.88,98.9,98.9
711190,278.88,96.62,96.62
711191,278.88,124.92,124.92
711192,278.88,110.63,110.63
711193,278.88,99.17,99.17
711194,278.88,89.95,89.95
711195,278.88,85.53,85.53
711196,278.88,82.52,82.52
711197,278.88,79.51,79.51
711198,278.88,78.56,78.56
711199,278.88,76.82,76.82
711200,278.88,74.88,74.88
711201,278.88,70.34,70.34
711202,278.88,66.03,66.03
711203,278.88,60.95,60.95
711204,278.88,57.15,57.15
711205,278.88,56.22,56.22
711206,278.88,60.18,60.18
711207,278.88,58.76,58.76
711208,278.88,55.04,55.04
711209,278.88,51.55,51.55
711210,278.88,48.69,48.69
711211,278.88,46.37,46.37
711212,278.88,44.67,44.67
711213,278.88,42.46,42.46
711214,278.88,41.59,41.59
711215,278.88,40.71,40.71
711216,278.88,39.55,39.55
711217,278.88,38.71,38.71
711218,278.88,38.2,38.2
711219,278.88,37.35,37.35
711220,278.88,36.76,36.76
711221,278.88,35.34,35.34
711222,278.88,34.21,34.21
711223,278.88,33.93,34.08
711224,278.87,33.94,34.2
711225,278.87,33.35,34.43
711226,278.85,32.24,34.97
711227,278.84,32.18,34.82
711228,278.83,31.89,34.7
711229,278.84,40.05,37.22
711230,278.82,41.22,45.07
711231,278.77,40.27,49.94
711232,278.7,38.27,51.19
711233,278.64,38.45,50.18
711234,278.61,39.64,45.4
711235,278.57,36.87,43.54
711236,278.54,37.72,42.48
711237,278.49,37,46.71
711238,278.41,34.49,50.06
711239,278.37,37.5,45.84
711240,278.34,40.04,44.72
711241,278.28,37.05,49.23
711242,278.19,34.7,50.61
711243,278.13,34.8,46.93
711244,278.07,34.35,44.96
711245,278.01,32.37,44.23
711246,277.94,32.45,44.22
711247,277.87,32.38,45.17
711248,277.8,31.83,45.79
711249,277.72,31.67,45.84
711250,277.65,32.97,46.2
711251,277.59,34.4,46.38
711252,277.51,32.91,48.32
711253,277.43,33.51,48.46
711254,277.39,37.12,44.48
711255,277.35,37.09,44.69
711256,277.29,37.47,47.22
711257,277.24,37.19,47.55
711258,277.2,39.61,46.21
711259,277.15,37.94,47.23
711260,277.08,35.78,48.09
711261,277.05,41.08,47.85
711262,277.05,45.48,44.7
711263,277.08,49.2,43.76
711264,277.08,46.06,45.18
711265,277.1,44.95,42.59
711266,277.12,45.76,41.52
711267,277.16,47.18,39.78
711268,277.23,49.6,36.5
711269,277.3,49.53,37.67
711270,277.31,44.66,43.12
711271,277.31,42.98,43.28
711272,277.3,43.34,44.14
711273,277.28,42.43,46.96
711274,277.25,40.63,45.11
711275,277.19,38.24,49.35
711276,277.04,32.69,60.55
711277,276.86,32.06,64.83
711278,276.68,30.64,63.83
711279,276.48,29.99,65.6
711280,276.34,33.83,60.35
711281,276.2,36.64,60.9
711282,276.09,37.95,59.52
711283,275.97,36.52,56.79
711284,275.87,28.32,47.66
711285,275.85,29.68,33.98
711286,275.84,68.59,68.87
711287,275.58,79.37,125.48
711288,275.33,70.59,116.7
711289,275.07,77.42,123.53
711290,274.81,67.75,113.86
711291,274.54,68.22,116.27
711292,274.27,71.94,119.99
711293,274,73.27,121.24
711294,273.73,73.47,120.25
711295,273.46,72.3,119.08
711296,273.19,57.94,104.72
711297,272.92,77.09,123.88
711298,272.64,76.53,124
711299,272.36,82.29,129.19
711300,272.08,81.03,127.93
711301,271.81,78.58,125.48
711302,271.53,76.28,123.18
711303,271.25,73.16,119.95
711304,270.97,72.45,118.05
711305,270.69,70.19,115.78
711306,270.4,71.99,119.46
711307,270.11,72.61,120.08
711308,269.82,72.17,119.64
711309,269.53,70.59,117.06
711310,269.25,66.98,113.09
711311,268.96,66.39,112.5
711312,268.67,66.02,112.13
711313,268.38,65.8,111.91
711314,268.07,65.68,113.51
711315,267.77,65.86,112.97
711316,267.46,66.89,114
711317,267.16,68.59,114.99
711318,266.85,66.67,113.06
711319,266.55,65.63,112.03
711320,266.24,65.74,111.42
711321,265.94,46.79,92.47
711322,265.62,33.63,81.13
711323,265.29,28.63,76.3
711324,264.97,30.46,77.79
711325,264.65,32.4,78.15
711326,264.33,78.11,124.51
711327,264,73.37,118.95
711328,263.68,52.23,98.79
711329,263.34,47.26,95.55
711330,263,47.03,93.82
711331,262.65,43.69,91.48
711332,262.31,41.03,87.6
711333,261.97,37.12,83.7
711334,261.63,34.91,81.49
711335,261.28,33.44,78.91
711336,260.94,55.2,100.18
711337,260.36,50.3,126.81
711338,259.77,79.43,153.48
711339,259.19,103.42,177.21
711340,258.61,131.9,203.47
711341,258.02,141.11,212.16
711342,257.44,169.45,238.53
711343,256.85,189.88,258.2
711344,256.18,168.6,244.98
711345,255.51,159.13,234.51
711346,254.84,150.19,224.28
711347,254.17,199.75,271.99
711348,253.5,183.84,254.23
711349,252.83,170.47,239.57
711350,252.16,160.96,229.06
711351,251.58,160.02,216.81
711352,251.49,144.01,153.18
711353,251.49,126.51,126.51
711354,251.49,128,128
711355,251.49,134.68,134.68
711356,251.49,139.46,139.46
711357,251.49,123.85,123.85
711358,251.49,121.05,121.05
711359,251.49,130.78,130.78
711360,251.55,171.07,165.51
711361,251.7,192.36,177.36
711362,251.87,194.54,177.36
711363,252.04,193.97,177.36
711364,255.8,457.61,60.29
711365,260.32,577.06,33.98
711366,260.91,338.15,260.88
711367,260.91,271.11,271.1
711368,260.86,279.5,285.89
711369,260.05,228.26,333.73
711370,259.13,195.16,310.53
711371,258.21,172.11,285.08
711372,257.38,159.09,258.22
711373,256.71,155.31,233.66
711374,256.22,133.2,187.79
711375,255.7,118.25,177.36
711376,255.14,113.17,175.56
711377,254.54,112.64,177.36
711378,253.93,111.36,177.36
711379,253.2,102.23,177.36
711380,252.38,92.55,177.35
711381,251.49,82.53,170.13
711382,251.46,82.78,85.77
711383,251.49,78.94,75.94
711384,251.49,78.11,78.11
711385,251.49,71.64,71.64
711386,251.49,68.28,68.28
711387,251.49,66.31,66.31
711388,251.49,65.98,65.98
711389,251.49,60.41,60.41
711390,251.49,60.56,60.56
711391,251.49,62.75,62.75
711392,251.49,64.74,64.74
711393,251.49,59.99,59.99
711394,251.49,52.59,52.59
711395,251.49,54.66,54.66
711396,251.49,57.41,57.41
711397,251.49,51.97,51.97
711398,251.49,49.25,49.25
711399,251.49,46.94,46.94
711400,251.49,46.02,46.02
711401,251.49,45.1,45.1
711402,251.49,44,44
711403,251.49,42.87,42.87
711404,251.49,41.5,41.5
711405,251.49,40.85,40.85
711406,251.49,40.85,40.85
711407,251.49,40.09,40.09
711408,251.49,37.95,37.95
711409,251.49,39.2,39.2
711410,251.49,40.57,40.57
711411,251.49,37.69,37.69
711412,251.49,37.16,37.16
711413,251.49,36.28,36.28
711414,251.49,36,36
711415,251.49,33.66,33.98
711416,251.48,33.25,33.98
711417,251.47,33.25,33.98
711418,251.46,32.63,33.84
711419,251.46,32.3,32.3
711420,251.46,34.06,33.98
711421,251.5,37.63,33.98
711422,251.54,37.64,33.98
711423,251.56,36.74,33.98
711424,251.6,37.42,33.98
711425,251.63,37.42,33.98
711426,252,70.39,33.98
711427,252.27,59.91,33.98
711428,252.38,45.3,33.98
711429,252.46,42.24,33.98
711430,252.69,57.34,33.98
711431,253.09,75.21,33.98
711432,253.69,95.6,33.98
711433,255.26,203.49,33.98
711434,256.89,217.93,33.98
711435,258.02,166.96,33.98
711436,259.39,202.93,33.98
711437,260.8,213.69,33.98
711438,262.48,259.28,33.98
711439,263.56,183.11,33.98
711440,264.44,160.18,33.98
711441,265.2,142.34,33.98
711442,265.88,134.41,33.98
711443,266.54,133.85,33.98
711444,267.09,117.89,33.98
711445,267.56,104.58,33.98
711446,267.99,100.34,33.98
711447,268.42,101.19,33.98
711448,268.96,120.44,33.98
711449,269.5,119.88,33.98
711450,269.75,109.69,69.15
711451,269.97,104.02,68.42
711452,270.19,95.53,59.93
711453,270.4,85.9,50.3
711454,270.62,83.64,48.04
711455,270.84,82.22,46.62
711456,271.05,86.19,50.59
711457,271.27,84.49,48.89
711458,271.49,89.59,53.61
711459,271.7,95.54,59.56
711460,271.91,112.32,76.35
711461,272.13,125.7,89.72
711462,272.34,137.76,101.78
711463,272.55,144.97,108.99
711464,272.77,148.96,112.98
711465,272.98,146.16,109.32
711466,273.17,118,84.02
711467,273.39,107.87,70.54
711468,273.6,100.73,65.07
711469,273.8,97.76,62.1
711470,274.01,105.56,69.9
711471,274.21,94.82,58.23
711472,274.42,88.7,52.08
711473,274.62,94.71,58.09
711474,274.83,88.75,53.1
