DAY_NDX,Q_CFS
722335,428
722336,392
722337,346
722338,307
722339,278
722340,260
722341,249
722342,243
722343,292
722344,2100
722345,1300
722346,947
722347,747
722348,642
722349,552
722350,475
722351,433
722352,392
722353,461
722354,546
722355,525
722356,475
722357,433
722358,401
722359,363
722360,342
722361,327
722362,292
722363,250
722364,220
722365,210
722366,200
722367,190
722368,190
722369,480
722370,1490
722371,4400
722372,5620
722373,2370
722374,2720
722375,4370
722376,4080
722377,2780
722378,2780
722379,1930
722380,1360
722381,1070
722382,1010
722383,1210
722384,1100
722385,922
722386,780
722387,696
722388,678
722389,828
722390,1090
722391,1490
722392,1460
722393,1180
722394,939
722395,773
722396,1990
722397,4150
722398,6050
722399,3920
722400,2880
722401,1950
722402,1390
722403,1090
722404,989
722405,914
722406,828
722407,806
722408,1040
722409,1030
722410,820
722411,684
722412,596
722413,536
722414,490
722415,451
722416,428
722417,419
722418,419
722419,401
722420,405
722421,678
722422,989
722423,806
722424,709
722425,690
722426,780
722427,793
722428,672
722429,721
722430,1260
722431,1390
722432,1160
722433,1540
722434,1350
722435,1710
722436,1770
722437,2280
722438,1590
722439,1270
722440,1290
722441,1530
722442,1330
722443,1100
722444,930
722445,851
722446,858
722447,964
722448,1020
722449,898
722450,874
722451,1010
722452,955
722453,866
722454,843
722455,753
722456,666
722457,619
722458,721
722459,2030
722460,2470
722461,2080
722462,1730
722463,1460
722464,1200
722465,955
722466,820
722467,760
722468,740
722469,747
722470,690
722471,590
722472,525
722473,500
722474,470
722475,465
722476,470
722477,437
722478,384
722479,354
722480,342
722481,319
722482,289
722483,260
722484,226
722485,213
722486,210
722487,213
722488,213
722489,204
722490,189
722491,178
722492,167
722493,151
722494,142
722495,135
722496,130
722497,124
722498,117
722499,109
722500,105
722501,109
722502,128
722503,151
722504,142
722505,124
722506,111
722507,101
722508,95
722509,88
722510,85
722511,80
722512,75
722513,71
722514,68
722515,73
722516,157
722517,189
722518,128
722519,107
722520,97
722521,88
722522,81
722523,76
722524,71
722525,71
722526,67
722527,65
722528,62
722529,58
722530,55
722531,52
722532,49
722533,47
722534,45
722535,44
722536,44
722537,44
722538,43
722539,42
722540,40
722541,39
722542,39
722543,39
722544,38
722545,37
722546,36
722547,35
722548,34
722549,34
722550,34
722551,33
722552,32
722553,32
722554,31
722555,31
722556,30
722557,30
722558,30
722559,29
722560,29
722561,31
722562,34
722563,34
722564,31
722565,36
722566,38
722567,40
722568,38
722569,34
722570,32
722571,31
722572,29
722573,30
722574,30
722575,30
722576,36
722577,43
722578,42
722579,75
722580,256
722581,142
722582,92
722583,70
722584,57
722585,58
722586,71
722587,64
722588,54
722589,48
722590,45
722591,42
722592,39
722593,39
722594,38
722595,37
722596,35
722597,34
722598,34
722599,33
722600,32
722601,32
722602,31
722603,31
722604,31
722605,31
722606,31
722607,30
722608,30
722609,29
722610,29
722611,28
722612,28
722613,28
722614,28
722615,28
722616,28
722617,27
722618,26
722619,26
722620,26
722621,35
722622,58
722623,46
722624,38
722625,92
722626,1410
722627,1570
722628,1050
