MANUFACTURING EARNINGS (in millions of 2005 dollars),Benton,Clackamas,Columbia,Lane,Linn,Marion,Multnomah,Polk,Washington,Yamhill,Portland Metro
2037,0,0,0,0,0,0,0,0,55.516695,0,55.516695
2038,0,0,0,0,0,0,0,0,56.327375,0,56.327375
2039,0,0,0,0,0,0,0,0,57.141315,0,57.141315
2040,0,0,0,0,0,0,0,0,57.958355,0,57.958355
2041,0,0,0,0,0,0,0,0,58.722291,0,58.722291
2042,0,0,0,0,0,0,0,0,59.47888105,0,59.47888105
2043,0,0,0,0,0,0,0,0,60.2378139,0,60.2378139
2044,0,0,0,0,0,0,0,0,60.9991777,0,60.9991777
2045,0,0,0,0,0,0,0,0,61.7628423,0,61.7628423
2046,0,0,0,0,0,0,0,0,62.52867585,0,62.52867585
2047,0,0,0,0,0,0,0,0,63.29654575,0,63.29654575
2048,0,0,0,0,0,0,0,0,64.0663181,0,64.0663181
2049,0,0,0,0,0,0,0,0,64.8378577,0,64.8378577
2050,0,0,0,0,0,0,0,0,65.61102845,0,65.61102845
2051,0,0,0,0,0,0,0,0,66.38569305,0,66.38569305
2052,0,0,0,0,0,0,0,0,67.16171315,0,67.16171315
2053,0,0,0,0,0,0,0,0,67.93894995,0,67.93894995
2054,0,0,0,0,0,0,0,0,68.7172636,0,68.7172636
2055,0,0,0,0,0,0,0,0,69.49651355,0,69.49651355
2056,0,0,0,0,0,0,0,0,70.27655815,0,70.27655815
2057,0,0,0,0,0,0,0,0,71.05725595,0,71.05725595
2058,0,0,0,0,0,0,0,0,71.83846415,0,71.83846415
2059,0,0,0,0,0,0,0,0,72.62003995,0,72.62003995
2060,0,0,0,0,0,0,0,0,73.40183975,0,73.40183975
2061,0,0,0,0,0,0,0,0,74.18371995,0,74.18371995
2062,0,0,0,0,0,0,0,0,74.96553625,0,74.96553625
2063,0,0,0,0,0,0,0,0,75.74714415,0,75.74714415
2064,0,0,0,0,0,0,0,0,76.5283993,0,76.5283993
2065,0,0,0,0,0,0,0,0,77.3091569,0,77.3091569
2066,0,0,0,0,0,0,0,0,78.0892723,0,78.0892723
2067,0,0,0,0,0,0,0,0,78.86860075,0,78.86860075
2068,0,0,0,0,0,0,0,0,79.6469976,0,79.6469976
2069,0,0,0,0,0,0,0,0,80.42431835,0,80.42431835
2070,0,0,0,0,0,0,0,0,81.20041845,0,81.20041845
2071,0,0,0,0,0,0,0,0,81.9751539,0,81.9751539
2072,0,0,0,0,0,0,0,0,82.75024935,0,82.75024935
2073,0,0,0,0,0,0,0,0,83.5259616,0,83.5259616
2074,0,0,0,0,0,0,0,0,84.3022332,0,84.3022332
2075,0,0,0,0,0,0,0,0,85.0790017,0,85.0790017
2076,0,0,0,0,0,0,0,0,85.856207,0,85.856207
2077,0,0,0,0,0,0,0,0,86.6337914,0,86.6337914
2078,0,0,0,0,0,0,0,0,87.4116996,0,87.4116996
2079,0,0,0,0,0,0,0,0,88.18987895,0,88.18987895
2080,0,0,0,0,0,0,0,0,88.9682797,0,88.9682797
2081,0,0,0,0,0,0,0,0,89.7468547,0,89.7468547
2082,0,0,0,0,0,0,0,0,90.5255601,0,90.5255601
2083,0,0,0,0,0,0,0,0,91.304355,0,91.304355
2084,0,0,0,0,0,0,0,0,92.08320185,0,92.08320185
2085,0,0,0,0,0,0,0,0,92.86206645,0,92.86206645
2086,0,0,0,0,0,0,0,0,93.6409182,0,93.6409182
2087,0,0,0,0,0,0,0,0,94.4197302,0,94.4197302
2088,0,0,0,0,0,0,0,0,95.19847935,0,95.19847935
2089,0,0,0,0,0,0,0,0,95.97714655,0,95.97714655
2090,0,0,0,0,0,0,0,0,96.75571675,0,96.75571675
2091,0,0,0,0,0,0,0,0,97.5341793,0,97.5341793
2092,0,0,0,0,0,0,0,0,98.31252795,0,98.31252795
2093,0,0,0,0,0,0,0,0,99.090761,0,99.090761
2094,0,0,0,0,0,0,0,0,99.8688816,0,99.8688816
2095,0,0,0,0,0,0,0,0,100.6468977,0,100.6468977
2096,0,0,0,0,0,0,0,0,101.4248224,0,101.4248224
2097,0,0,0,0,0,0,0,0,102.202674,0,102.202674
2098,0,0,0,0,0,0,0,0,102.9804765,0,102.9804765
2099,0,0,0,0,0,0,0,0,103.7582591,0,103.7582591
2100,0,0,0,0,0,0,0,0,104.5360571,0,104.5360571
