REGION,PVT,VEGCLASS,ABBREV,STARTAGE,ENDAGE,RNDAGE,LAI,GAP_FRAC,CARBON,DEAD_FUEL,LIVE_FUEL,HEIGHT_M,DBH,FUEL_DEPTH,FINE_FUEL_FRAC,FRAC_1HR_LIVE,FRAC_100HR_LIVE,NEXT_PVT,NEXT_VEGCLASS,NEXT_ABBREV
1,8,4009320,DF:Gc2,96,500,145,8,0.3,0,0,0,0,0,0,0,0,0,8,4009320,DF:Gc2
1,8,4009220,DF:Gm2,96,150,146,8,0.3,0,0,0,0,0,0,0,0,0,8,4009220,DF:Gm2
1,8,4008410,DF:L1p,51,75,52,8,0.3,0,0,0,0,0,0,0,0,0,8,4008410,DF:L1p
1,8,4008320,DF:Lc2,51,117,103,8,0.3,0,0,0,0,0,0,0,0,0,8,4009320,DF:Gc2
1,8,4008220,DF:Lm2,51,95,59,8,0.3,0,0,0,0,0,0,0,0,0,8,4009220,DF:Gm2
1,8,4007410,DF:M1p,31,50,45,8,0.3,0,0,0,0,0,0,0,0,0,8,4008220,DF:Lm2
1,8,4007320,DF:Mc2,31,60,56,8,0.3,0,0,0,0,0,0,0,0,0,8,4008320,DF:Lc2
1,8,4007220,DF:Mm2,31,50,47,8,0.3,0,0,0,0,0,0,0,0,0,8,4008220,DF:Lm2
1,8,4005310,DF:Pc1,11,25,23,5,0.3,0,0,0,0,0,0,0,0,0,8,4006320,DF:Sc2
1,8,4005210,DF:Pm1,11,20,19,8,0.3,0,0,0,0,0,0,0,0,0,8,4006220,DF:Sm2
1,8,4006410,DF:S1p,21,30,30,8,0.3,0,0,0,0,0,0,0,0,0,8,4007220,DF:Mm2
1,8,4006320,DF:Sc2,21,35,21,8,0.3,0,0,0,0,0,0,0,0,0,8,4007320,DF:Mc2
1,8,4006220,DF:Sm2,21,30,22,8,0.3,0,0,0,0,0,0,0,0,0,8,4007220,DF:Mm2
1,8,3102000,TO:GF,1,15,3,0.1,0.3,0,0,0,0,0,0,0,0,0,8,3104100,TO:Yo
1,8,3102100,TO:GFp,1,15,4,1,0.3,0,0,0,0,0,0,0,0,0,8,3104400,TO:Yop
1,8,3104100,TO:Yo,1,10,5,1,0.3,0,0,0,0,0,0,0,0,0,8,4005210,DF:Pm1
1,8,3104400,TO:Yop,1,10,6,0.5,0.3,0,0,0,0,0,0,0,0,0,8,4005210,DF:Pm1
1,7,7702000,JP:GF,1,10,7,0.3,0.3,0,0,0,0,0,0,0,0,0,7,7704100,JP:Yo
1,7,7702100,JP:GFp,1,10,8,0.3,0.3,0,0,0,0,0,0,0,0,0,7,7704100,JP:Yo
1,7,7708210,JP:Lm1,165,500,233,1.4,0.3,0,0,0,0,0,0,0,0,0,7,7708210,JP:Lm1
1,7,7708110,JP:Lo1,165,500,234,1.4,0.3,0,0,0,0,0,0,0,0,0,7,7708110,JP:Lo1
1,7,7707410,JP:M1p,115,134,125,1.4,0.3,0,0,0,0,0,0,0,0,0,7,7707410,JP:M1p
1,7,7707210,JP:Mm1,115,189,186,1.4,0.3,0,0,0,0,0,0,0,0,0,7,7708210,JP:Lm1
1,7,7707110,JP:Mo1,115,164,137,1.4,0.3,0,0,0,0,0,0,0,0,0,7,7708110,JP:Lo1
1,7,7705110,JP:Po1,21,40,34,1.4,0.3,0,0,0,0,0,0,0,0,0,7,7706110,JP:So1
1,7,7706410,JP:S1p,41,60,55,1.4,0.3,0,0,0,0,0,0,0,0,0,7,7706410,JP:S1p
1,7,7706210,JP:Sm1,41,152,116,1.4,0.3,0,0,0,0,0,0,0,0,0,7,7707210,JP:Mm1
1,7,7706110,JP:So1,41,115,42,1.4,0.3,0,0,0,0,0,0,0,0,0,7,7707110,JP:Mo1
1,7,7704100,JP:Yo,1,20,18,0.6,0.3,0,0,0,0,0,0,0,0,0,7,7705110,JP:Po1
1,7,7704400,JP:Yop,1,20,19,0.6,0.3,0,0,0,0,0,0,0,0,0,7,7705110,JP:Po1
1,1,4459320,WH:Gc2,146,999,225,7,0.3,0,0,0,0,0,0,0,0,0,1,4459320,WH:Gc2
1,2,4009320,DF:Gc2,501,999,581,8,0.3,0,0,0,0,0,0,0,0,0,2,4009320,DF:Gc2
1,2,4002000,DF:GF,0,10,4,0.5,0.3,0,0,0,0,0,0,0,0,0,2,4004100,DF:Yo
1,2,4008320,DF:Lc2,152,500,234,8,0.3,0,0,0,0,0,0,0,0,0,2,4009320,DF:Gc2
1,2,4008220,DF:Lm2,152,500,235,8,0.3,0,0,0,0,0,0,0,0,0,2,4009320,DF:Gc2
1,2,4007320,DF:Mc2,112,151,116,8,0.3,0,0,0,0,0,0,0,0,0,2,4008320,DF:Lc2
1,2,4005210,DF:Pm1,41,80,46,8,0.3,0,0,0,0,0,0,0,0,0,2,4006220,DF:Sm2
1,2,4006320,DF:Sc2,81,111,105,8,0.3,0,0,0,0,0,0,0,0,0,2,4007320,DF:Mc2
1,2,4006220,DF:Sm2,81,111,106,8,0.3,0,0,0,0,0,0,0,0,0,2,4007320,DF:Mc2
1,2,4004100,DF:Yo,11,40,39,3,0.3,0,0,0,0,0,0,0,0,0,2,4005210,DF:Pm1
1,2,4109220,DFWF:Gm2,501,999,590,2.5,0.3,0,0,0,0,0,0,0,0,0,2,4109220,DFWF:Gm2
1,2,4108220,DFWF:Lm2,152,500,242,2.5,0.3,0,0,0,0,0,0,0,0,0,2,4109220,DFWF:Gm2
1,2,4207320,DG:Mc2,112,151,123,8,0.3,0,0,0,0,0,0,0,0,0,2,4008320,DF:Lc2
1,2,7057320,LP:Mc2,91,130,103,5,0.3,0,0,0,0,0,0,0,0,0,2,7057320,LP:Mc2
1,2,7056320,LP:Sc2,0,999,93,5,0.3,0,0,0,0,0,0,0,0,0,2,7056320,LP:Sc2
1,2,6059320,MH:Gc2,501,999,595,7,0.3,0,0,0,0,0,0,0,0,0,2,6059320,MH:Gc2
1,2,6058320,MH:Lc2,152,500,247,7,0.3,0,0,0,0,0,0,0,0,0,2,6059320,MH:Gc2
1,2,6058220,MH:Lm2,152,500,248,5,0.3,0,0,0,0,0,0,0,0,0,2,6058220,MH:Lm2
1,2,6057320,MH:Mc2,122,151,129,7,0.3,0,0,0,0,0,0,0,0,0,2,6058320,MH:Lc2
1,2,6056320,MH:Sc2,81,121,97,5,0.3,0,0,0,0,0,0,0,0,0,2,6057320,MH:Mc2
1,2,2052000,PK:GF,0,40,17,1,0.3,0,0,0,0,0,0,0,0,0,2,2055210,PK:Pm1
1,2,2057210,PK:Mm1,91,999,191,5,0.3,0,0,0,0,0,0,0,0,0,2,2057210,PK:Mm1
1,2,2055210,PK:Pm1,41,60,42,3,0.3,0,0,0,0,0,0,0,0,0,2,2056210,PK:Sm1
1,2,2056210,PK:Sm1,61,90,73,5,0.3,0,0,0,0,0,0,0,0,0,2,2057210,PK:Mm1
1,2,4359320,SFDF:Gc2,501,999,604,7,0.3,0,0,0,0,0,0,0,0,0,2,4359320,SFDF:Gc2
1,2,4352000,SFDF:GF,0,10,5,3,0.3,0,0,0,0,0,0,0,0,0,2,4354100,SFDF:Yo
1,2,4359220,SFDF:Gm2,501,999,606,7,0.3,0,0,0,0,0,0,0,0,0,2,4359220,SFDF:Gm2
