UGB_DH_ID,UGB_name,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,pop2035,pop2040,pop2045,pop2050,pop2055,pop2060,pop2065,pop2070,pop2075,pop2080,pop2085,pop2090,pop2095,pop2100
1035,Sweet Home,9014.256725,9014.256725,9014.256725,9014.256725,9014.256725,9014.256725,9014.256725,9014.256725,9014.256725,9014.256725,9014.256725,9014.256725,9014.256725,9446.487059,10181.24977,10962.18804,11710.93678,12386.97949,13001.47889,13594.77332,14185.56002,14998.73739,15683.96968,16354.18594,17011.40835,17664.005,18320.4028,18984.43937,19653.38157,20318.86513,20981.39919
1036,Sodaville,306.288609,306.288609,306.288609,306.288609,306.288609,306.288609,306.288609,306.288609,306.288609,306.288609,306.288609,306.288609,306.288609,320.975037,345.940983,372.475894,397.917061,420.887805,441.767415,461.926517,482.000412,509.630751,532.91374,555.686511,578.017774,600.191862,622.495106,645.057903,667.787383,690.399346,712.911089
1037,Waterloo,233.108018,233.108018,233.108018,233.108018,233.108018,233.108018,233.108018,233.108018,233.108018,233.108018,233.108018,233.108018,233.108018,244.285462,263.286372,283.481379,302.843966,320.326381,336.21729,351.559841,366.837542,387.866249,405.586305,422.918049,439.913772,456.789874,473.764273,490.93621,508.235006,525.444362,542.577444
1038,Lebanon,18443.01122,18443.01122,18443.01122,18443.01122,18443.01122,18443.01122,18443.01122,18443.01122,18443.01122,18443.01122,18443.01122,18443.01122,18443.01122,19327.3469,20830.65853,22428.44453,23960.37133,25343.54287,26600.79786,27814.66785,29023.40709,30687.15374,32089.12698,33460.3777,34805.04323,36140.24453,37483.22292,38841.8301,40210.47411,41572.04181,42927.57487
1039,Tangent,1234.506332,1234.506332,1234.506332,1234.506332,1234.506332,1234.506332,1234.506332,1234.506332,1234.506332,1234.506332,1234.506332,1234.506332,1234.506332,1293.700462,1394.326531,1501.276362,1603.817824,1696.402164,1780.558121,1861.810047,1942.71854,2054.083531,2147.926387,2239.712792,2329.719683,2419.093075,2508.987035,2599.927129,2691.539051,2782.67731,2873.411634
1040,Corvallis,62456.58568,62456.58568,62456.58568,62456.58568,62456.58568,62456.58568,62456.58568,62456.58568,62456.58568,62456.58568,62456.58568,62456.58568,62456.58568,64296.38908,67086.84173,70044.6302,72942.54419,75676.44777,78303.66114,80967.84538,83732.07737,86117.16836,88899.97653,91655.99267,94387.51158,97116.28912,99859.99711,102620.7867,105375.094,108126.2262,110872.8333
1041,Adair Village,876.427468,876.427468,876.427468,876.427468,876.427468,876.427468,876.427468,876.427468,876.427468,876.427468,876.427468,876.427468,876.427468,902.244669,941.401938,982.907362,1023.572592,1061.936332,1098.802932,1136.188329,1174.977654,1208.446651,1247.496649,1286.170685,1324.500961,1362.792769,1401.29409,1440.03511,1478.685166,1517.290669,1555.832671
1042,Albany,52617.75441,52617.75441,52617.75441,52617.75441,52617.75441,52617.75441,52617.75441,52617.75441,52617.75441,52617.75441,52617.75441,52617.75441,52617.75441,55020.23702,59069.12208,63371.61824,67503.24376,71245.92367,74662.72737,77974.94301,81284.77361,85692.38582,89487.16594,93202.3558,96848.53659,100470.7744,104114.0099,107798.0938,111506.5896,115197.0659,118871.9858
1043,Scio,883.534344,883.534344,883.534344,883.534344,883.534344,883.534344,883.534344,883.534344,883.534344,883.534344,883.534344,883.534344,883.534344,925.899495,997.917423,1074.461258,1147.850029,1214.112504,1274.342797,1332.494679,1390.400767,1470.104526,1537.267718,1602.959111,1667.376909,1731.341313,1795.678286,1860.763976,1926.330492,1991.558009,2056.496429
1044,Idanha,134.51453,134.51453,134.51453,134.51453,134.51453,134.51453,134.51453,134.51453,134.51453,134.51453,134.51453,134.51453,134.51453,141.607821,152.766023,164.873409,176.674845,187.610358,197.854211,207.856408,217.865081,229.776114,240.781571,251.62092,262.309687,272.982701,283.703959,294.524746,305.385065,316.215003,327.013084
