COMMERCIAL EARNINGS (in millions of 2005 dollars),Benton,Clackamas,Columbia,Lane,Linn,Marion,Multnomah,Polk,Washington,Yamhill,Portland Metro
2037,0,0,0,0,0,0,0,0,417.952155,0,417.952155
2038,0,0,0,0,0,0,0,0,427.991015,0,427.991015
2039,0,0,0,0,0,0,0,0,438.264275,0,438.264275
2040,0,0,0,0,0,0,0,0,448.77769,0,448.77769
2041,0,0,0,0,0,0,0,0,456.462097,0,456.462097
2042,0,0,0,0,0,0,0,0,464.2240588,0,464.2240588
2043,0,0,0,0,0,0,0,0,472.0586179,0,472.0586179
2044,0,0,0,0,0,0,0,0,479.9656806,0,479.9656806
2045,0,0,0,0,0,0,0,0,487.9433002,0,487.9433002
2046,0,0,0,0,0,0,0,0,495.9893613,0,495.9893613
2047,0,0,0,0,0,0,0,0,504.101578,0,504.101578
2048,0,0,0,0,0,0,0,0,512.277483,0,512.277483
2049,0,0,0,0,0,0,0,0,520.5144185,0,520.5144185
2050,0,0,0,0,0,0,0,0,528.8095255,0,528.8095255
2051,0,0,0,0,0,0,0,0,537.1597365,0,537.1597365
2052,0,0,0,0,0,0,0,0,545.5617675,0,545.5617675
2053,0,0,0,0,0,0,0,0,554.0121035,0,554.0121035
2054,0,0,0,0,0,0,0,0,562.50699,0,562.50699
2055,0,0,0,0,0,0,0,0,571.0424235,0,571.0424235
2056,0,0,0,0,0,0,0,0,579.6141375,0,579.6141375
2057,0,0,0,0,0,0,0,0,588.2175895,0,588.2175895
2058,0,0,0,0,0,0,0,0,596.847953,0,596.847953
2059,0,0,0,0,0,0,0,0,605.500101,0,605.500101
2060,0,0,0,0,0,0,0,0,614.1685925,0,614.1685925
2061,0,0,0,0,0,0,0,0,622.847657,0,622.847657
2062,0,0,0,0,0,0,0,0,631.5311845,0,631.5311845
2063,0,0,0,0,0,0,0,0,640.2127065,0,640.2127065
2064,0,0,0,0,0,0,0,0,648.885381,0,648.885381
2065,0,0,0,0,0,0,0,0,657.5419745,0,657.5419745
2066,0,0,0,0,0,0,0,0,666.1748485,0,666.1748485
2067,0,0,0,0,0,0,0,0,674.775936,0,674.775936
2068,0,0,0,0,0,0,0,0,683.336729,0,683.336729
2069,0,0,0,0,0,0,0,0,691.8482525,0,691.8482525
2070,0,0,0,0,0,0,0,0,700.301052,0,700.301052
2071,0,0,0,0,0,0,0,0,708.685164,0,708.685164
2072,0,0,0,0,0,0,0,0,717.0925995,0,717.0925995
2073,0,0,0,0,0,0,0,0,725.521551,0,725.521551
2074,0,0,0,0,0,0,0,0,733.970315,0,733.970315
2075,0,0,0,0,0,0,0,0,742.4371365,0,742.4371365
2076,0,0,0,0,0,0,0,0,750.9202645,0,750.9202645
2077,0,0,0,0,0,0,0,0,759.417961,0,759.417961
2078,0,0,0,0,0,0,0,0,767.928507,0,767.928507
2079,0,0,0,0,0,0,0,0,776.450208,0,776.450208
2080,0,0,0,0,0,0,0,0,784.981401,0,784.981401
2081,0,0,0,0,0,0,0,0,793.5204635,0,793.5204635
2082,0,0,0,0,0,0,0,0,802.065821,0,802.065821
2083,0,0,0,0,0,0,0,0,810.615956,0,810.615956
2084,0,0,0,0,0,0,0,0,819.169418,0,819.169418
2085,0,0,0,0,0,0,0,0,827.724832,0,827.724832
2086,0,0,0,0,0,0,0,0,836.2809125,0,836.2809125
2087,0,0,0,0,0,0,0,0,844.8364715,0,844.8364715
2088,0,0,0,0,0,0,0,0,853.3904345,0,853.3904345
2089,0,0,0,0,0,0,0,0,861.9418505,0,861.9418505
2090,0,0,0,0,0,0,0,0,870.4899085,0,870.4899085
2091,0,0,0,0,0,0,0,0,879.0339525,0,879.0339525
2092,0,0,0,0,0,0,0,0,887.5734955,0,887.5734955
2093,0,0,0,0,0,0,0,0,896.1082395,0,896.1082395
2094,0,0,0,0,0,0,0,0,904.6380905,0,904.6380905
2095,0,0,0,0,0,0,0,0,913.163181,0,913.163181
2096,0,0,0,0,0,0,0,0,921.6838875,0,921.6838875
2097,0,0,0,0,0,0,0,0,930.2008555,0,930.2008555
2098,0,0,0,0,0,0,0,0,938.7150195,0,938.7150195
2099,0,0,0,0,0,0,0,0,947.2276295,0,947.2276295
2100,0,0,0,0,0,0,0,0,955.7402755,0,955.7402755
