elevation_m,release_cms
258,0
260,0
260,5
260,11
260,23
261,45
261,65
261,76
262,91
262,113
262,126
262,142
262,162
262,189
262,206
262,2761
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
 , 
