DAY_NDX,Q_CFS
729326,60
729327,44
729328,162
729329,205
729330,257
729331,146
729332,114
729333,86
729334,64
729335,47
729336,43
729337,40
729338,39
729339,40
729340,33
729341,27
729342,23
729343,22
729344,19
729345,17
729346,15
729347,13
729348,12
729349,14
729350,118
729351,107
729352,88
729353,65
729354,61
729355,59
729356,48
729357,37
729358,30
729359,32
729360,27
729361,23
729362,24
729363,22
729364,19
729365,17
729366,23
729367,19
729368,18
729369,31
729370,41
729371,36
729372,31
729373,27
729374,23
729375,20
729376,17
729377,15
729378,14
729379,12
729380,11
729381,9.3
729382,16
729383,19
729384,25
729385,16
729386,13
729387,11
729388,10
729389,8.9
729390,7.7
729391,27
729392,17
729393,13
729394,10
729395,8.7
729396,7.5
729397,8
729398,9.6
729399,12
729400,18
729401,17
729402,34
729403,47
729404,49
729405,52
729406,132
729407,89
729408,73
729409,87
729410,80
729411,65
729412,48
729413,47
729414,72
729415,48
729416,35
729417,28
729418,33
729419,43
729420,29
729421,24
729422,20
729423,16
729424,14
729425,12
729426,9.8
729427,8.4
729428,7.1
729429,6.3
729430,13
729431,14
729432,9.1
729433,7.1
729434,6
729435,5.5
729436,5.4
729437,5.3
729438,4.9
729439,5.4
729440,5
729441,4.6
729442,4.3
729443,4.1
729444,8.3
729445,9.6
729446,18
729447,10
729448,7.8
729449,6.4
729450,5.6
729451,5.4
729452,5.1
729453,4.9
729454,4.6
729455,4.5
729456,4.2
729457,3.9
729458,3.7
729459,3.5
729460,3.4
729461,3.3
729462,3.1
729463,3
729464,2.8
729465,2.8
729466,2.8
729467,2.7
729468,2.6
729469,2.6
729470,2.6
729471,2.5
729472,2.4
729473,2.3
729474,2.2
729475,2.1
729476,2.1
729477,2
729478,1.9
729479,1.9
729480,1.9
729481,2.1
729482,1.9
729483,1.8
729484,1.6
729485,1.5
729486,1.4
729487,1.2
729488,1.1
729489,1.1
729490,1.1
729491,1.1
729492,1.1
729493,1.1
729494,1
729495,0.9
729496,0.9
729497,0.86
729498,0.89
729499,0.95
729500,1.3
729501,1.3
729502,1.4
729503,1.3
729504,1.3
729505,1.2
729506,1.1
729507,1.1
729508,1.1
729509,1
729510,0.94
729511,0.92
729512,0.92
729513,0.93
729514,1.1
729515,1.2
729516,1.2
729517,1.1
729518,1.1
729519,1.2
729520,1.2
729521,1
729522,0.94
729523,1
729524,1
729525,0.98
729526,1.2
729527,1.3
729528,1.1
729529,0.85
729530,3
729531,3.9
729532,1.7
729533,1.2
729534,1
729535,1
729536,0.95
729537,2.2
729538,1.8
729539,1.3
729540,1
729541,0.97
729542,1.1
729543,1.3
729544,2
729545,4
729546,3.8
729547,1.9
729548,1.6
729549,1.6
729550,1.9
729551,9.7
729552,4.2
729553,2.4
729554,2.2
729555,4.5
729556,4.5
729557,4.1
729558,3
729559,2.6
729560,2.7
729561,2.2
729562,2.5
729563,2.8
729564,2.8
729565,2.6
729566,2.6
