DAY_NDX,Q_CFS
730638,16
730639,16
730640,16
730641,17
730642,16.5
730643,15.8
730644,15.3
730645,15.5
730646,15.2
730647,21.4
730648,21.1
730649,17.3
730650,17
730651,16.1
730652,16.2
730653,15.4
730654,14.4
730655,13.4
730656,12.8
730657,12.6
730658,12.4
730659,18.7
730660,18.5
730661,13.6
730662,15.6
730663,15.9
730664,16.6
730665,16.4
730666,16.9
730667,22.5
730668,24.1
730669,22.9
730670,23.5
730671,18.5
730672,16.7
730673,16.4
730674,16.9
730675,23.2
730676,28.9
730677,29.9
730678,29.7
730679,27.5
730680,20.7
730681,16.6
730682,17.7
730683,17.1
730684,24.7
730685,27.7
730686,20
730687,24.3
730688,30.2
730689,35.4
730690,91.4
730691,106
730692,84.9
730693,102
730694,94.3
730695,74.1
730696,79.3
730697,100
730698,74
730699,70.5
730700,76.8
730701,56.1
730702,56.2
730703,72.6
730704,68.9
730705,75.6
730706,64.7
730707,53
730708,46.6
730709,46.3
730710,45.6
730711,59.7
730712,139
730713,106
730714,110
730715,117
730716,119
730717,131
730718,107
730719,84.6
730720,69.9
730721,56.1
730722,46.3
730723,38.4
730724,32.8
730725,29.5
730726,27.8
730727,24.8
730728,23.7
730729,31.2
730730,33
730731,37.1
730732,34.6
730733,31.5
730734,29.7
730735,36.4
730736,40.6
730737,68.8
730738,60.5
730739,49
730740,41
730741,36.6
730742,32.1
730743,29.9
730744,27.1
730745,25.1
730746,25
730747,22.9
730748,26
730749,47.2
730750,158
730751,132
730752,111
730753,96.1
730754,117
730755,143
730756,109
730757,86.3
730758,70.4
730759,59.2
730760,55
730761,84.5
730762,70.3
730763,62.9
730764,54.5
730765,48.9
730766,45.5
730767,78
730768,104
730769,88.1
730770,72.2
730771,60
730772,50.6
730773,43.6
730774,37.1
730775,32.1
730776,29.3
730777,25.9
730778,23.6
730779,23.5
730780,22.5
730781,20.2
730782,19.6
730783,30.9
730784,27.7
730785,25.4
730786,23.3
730787,21.4
730788,19.8
730789,18.5
730790,17
730791,16
730792,15.2
730793,15.4
730794,27.6
730795,47.4
730796,35.8
730797,31.1
730798,28.7
730799,34.6
730800,65.3
730801,78.5
730802,77.2
730803,68.3
730804,66.8
730805,59.7
730806,52.2
730807,46.9
730808,42.6
730809,37.3
730810,33.4
730811,32.7
730812,36.5
730813,34.2
730814,31.5
730815,29.1
730816,26.4
730817,24.2
730818,22.5
730819,21.4
730820,20.6
730821,19.9
730822,19.4
730823,21.1
730824,32
730825,31.4
730826,30.7
730827,28.8
730828,33
730829,39.3
730830,40.9
730831,39.5
730832,52.4
730833,116
730834,101
730835,75.3
730836,87.6
730837,98.7
730838,75.9
730839,62.2
730840,52.4
730841,45.3
730842,39.7
730843,37.2
730844,39.4
730845,38
730846,37.5
730847,34.5
730848,33.7
730849,33.1
730850,34.2
730851,34.2
730852,33.6
730853,32.5
730854,31.6
730855,30.2
730856,30.1
730857,29.1
730858,26.5
730859,26.6
730860,39
730861,33
730862,29.2
730863,29.9
730864,29.8
730865,31.2
730866,34.8
730867,34.9
730868,35.6
730869,37.7
730870,36.8
730871,35.8
730872,34.6
730873,34.2
730874,33.6
730875,33.7
730876,33.6
730877,34.8
730878,35.6
730879,35.3
730880,34.9
730881,33.5
730882,33.3
730883,32.3
730884,32.5
730885,32
730886,30.8
730887,29
730888,28.2
730889,26.9
730890,26.2
730891,25.5
730892,25.2
730893,26.5
730894,26.3
730895,26.5
730896,26.4
730897,29
730898,30.3
730899,31.9
730900,30.4
730901,29
730902,28.3
730903,27.4
730904,26.3
730905,25.2
730906,24.9
730907,26
730908,27
730909,30.7
730910,29.3
730911,29.4
730912,34.1
730913,33.5
730914,33.1
730915,31.6
730916,30.1
730917,30.7
730918,30.3
730919,29.5
730920,30.4
730921,29.4
730922,29
730923,29
730924,29.1
730925,28.6
730926,27.9
730927,27.2
730928,28.2
730929,28.3
730930,28.9
730931,29.1
730932,27.5
730933,27.6
730934,26.6
730935,26.3
730936,26.9
730937,26.5
730938,26.9
730939,26.2
730940,25.2
730941,24.9
730942,24.7
730943,23.7
730944,24.5
730945,24.6
730946,25.4
730947,24.9
730948,24.5
730949,24
730950,22.6
730951,22.4
730952,22.8
730953,22.4
730954,22.7
730955,22.5
730956,24
730957,24.6
730958,25.1
730959,26
730960,26.9
730961,27
730962,27.6
730963,27.2
730964,26.2
