COMMERCIAL EARNINGS (in millions of 2005 dollars),Benton,Clackamas,Columbia,Lane,Linn,Marion,Multnomah,Polk,Washington,Yamhill,Portland Metro
1998,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
1999,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2000,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2001,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2002,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2003,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2004,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2005,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2006,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2007,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2008,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2009,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2010,1705.648,7117.672,377.479,6069.767,1424.405,6265.126,25284.539,642.209,11246.885,1058.87,43649.096
2011,1762.561,7315.55,387.283,6169.84,1444.141,6353.87,25940.955,649.033,11464.144,1082.227,44720.649
2012,1808.001,7460.57,395.598,6307.624,1468.655,6448.923,26538.686,658.101,11838.201,1121.663,45837.457
2013,1854.511,7657.654,404.284,6463.94,1501.578,6596.052,27093.153,673.276,12218.54,1151.973,46969.347
2014,1902.215,7859.934,413.131,6623.42,1535.136,6746.434,27656.849,688.746,12610.636,1183.053,48127.419
2015,1951.147,8067.555,422.138,6786.106,1569.335,6900.133,28229.892,704.519,13014.846,1214.924,49312.293
2016,2001.349,8280.666,431.3,6952.041,1604.188,7057.226,28812.394,720.6,13431.511,1247.606,50524.571
2017,2052.848,8499.414,440.626,7121.268,1639.699,7217.777,29404.477,737,13860.995,1281.12,51764.886
2018,2105.686,8723.963,450.114,7293.833,1675.882,7381.864,30006.254,753.712,14303.667,1315.488,53033.884
2019,2159.892,8954.469,459.769,7469.782,1712.741,7549.554,30617.859,770.75,14759.915,1350.729,54332.243
2020,2215.51,9191.1,469.594,7649.154,1750.294,7720.926,31239.416,788.114,15230.122,1386.862,55660.638
2021,2272.572,9434.026,479.584,7832.002,1788.542,7896.058,31871.036,805.813,15714.7,1423.915,57019.762
2022,2331.128,9683.433,489.746,8018.363,1827.5,8075.018,32512.859,823.851,16214.046,1461.903,58410.338
2023,2391.213,9939.497,500.085,8208.284,1867.176,8257.894,33165.008,842.235,16728.595,1500.861,59833.1
2024,2452.867,10202.405,510.598,8401.812,1907.576,8444.757,33827.621,860.97,17258.772,1540.8,61288.798
2025,2516.136,10472.358,521.288,8598.984,1948.721,8635.69,34500.821,880.059,17805.022,1581.75,62778.201
2026,2581.066,10749.553,532.158,8799.857,1990.607,8830.77,35184.752,899.51,18367.81,1623.733,64302.115
2027,2647.704,11034.199,543.206,9004.466,2033.249,9030.087,35879.545,919.326,18947.592,1666.781,65861.336
2028,2716.095,11326.508,554.443,9212.859,2076.66,9233.723,36585.346,939.513,19544.849,1710.915,67456.703
2029,2786.283,11626.7,565.865,9425.083,2120.846,9441.758,37302.291,960.084,20160.081,1756.162,69089.072
2030,2858.325,11935.009,577.47,9641.181,2165.812,9654.276,38030.537,981.035,20793.784,1802.55,70759.33
2031,2932.269,12251.669,589.271,9861.19,2211.581,9871.369,38770.22,1002.38,21446.479,1850.108,72468.368
2032,3008.169,12576.918,601.259,10085.173,2258.149,10093.125,39521.491,1024.121,22118.695,1898.866,74217.104
2033,3086.079,12911.014,613.443,10313.156,2305.532,10319.626,40284.506,1046.263,22810.974,1948.844,76006.494
2034,3166.056,13254.22,625.821,10545.193,2353.737,10550.971,41059.415,1068.812,23523.88,2000.086,77837.515
2035,3248.154,13606.796,638.399,10781.327,2402.777,10787.248,41846.383,1091.779,24257.973,2052.613,79711.152
2036,3332.435,13969.028,651.176,11021.601,2452.659,11028.541,42645.569,1115.17,25013.847,2106.461,81628.444
2037,3418.962,14341.198,664.156,11266.064,2503.39,11274.948,43457.138,1138.989,25792.095,2161.66,83590.431
2038,3507.791,14723.609,677.343,11514.75,2554.985,11526.566,44281.255,1163.238,26593.339,2218.242,85598.203
2039,3598.991,15116.564,690.731,11767.714,2607.451,11783.487,45118.092,1187.933,27418.199,2276.247,87652.855
2040,3692.628,15520.389,704.331,12024.995,2660.795,12045.81,45967.82,1213.075,28267.329,2335.704,89755.538
2041,3758.861,15800.48,715.226,12223.503,2702.008,12238.499,46657.263,1232.104,28834.677,2378.265,91292.4194
2042,3825.404,16083.311,726.158,12425.291,2743.937,12434.654,47347.806,1251.54,29413.695,2421.466,92844.81175
2043,3892.651,16370.735,737.176,12629.214,2786.446,12634.178,48041.444,1271.321,29999.545,2464.793,94411.72357
2044,3960.589,16661.171,748.273,12834.723,2829.275,12835.449,48739.72,1291.256,30592.245,2508.554,95993.13612
2045,4029.201,16954.546,759.444,13041.766,2872.413,13038.416,49442.482,1311.339,31191.632,2552.737,97588.66003
